Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
ADI,2015-01-02,55.68,55.54,56.25,54.97,1329619.0,28.050505
ADI,2015-01-05,55.4,54.525,55.45,54.5,1445196.0,27.537879
ADI,2015-01-06,54.73,53.25,54.8,53.21,1708897.0,26.893939
ADI,2015-01-07,53.49,53.81,54.13,53.03,1722997.0,27.176768
ADI,2015-01-08,54.39,54.76,55.18,54.08,1882724.0,27.656566
ADI,2015-01-09,54.99,54.72,55.04,54.12,1720267.0,27.636364
ADI,2015-01-12,54.62,54.17,54.75,53.86,1250863.0,27.358586
ADI,2015-01-13,54.69,53.55,55.52,53.27,2340144.0,27.045455
ADI,2015-01-14,53.42,53.51,54.46,52.93,2524323.0,27.025253
ADI,2015-01-15,53.7,52.73,54.2,52.67,1990309.0,26.631313
ADI,2015-01-16,52.46,53.69,53.755,52.21,1997953.0,27.116162
ADI,2015-01-20,54.19,54.39,54.69,53.67,1790554.0,27.469697
ADI,2015-01-21,54.24,54.58,54.87,53.818,1585106.0,27.565657
ADI,2015-01-22,54.71,54.75,54.76,53.22,2555727.0,27.651515
ADI,2015-01-23,54.86,54.51,54.96,54.26,1940277.0,27.530303
ADI,2015-01-26,54.65,54.66,54.93,54.02,1341127.0,27.606061
ADI,2015-01-27,53.92,53.37,54.11,53.105,1963314.0,26.954545
ADI,2015-01-28,53.87,52.925,54.32,52.83,1687796.0,26.729798
ADI,2015-01-29,52.99,53.23,53.61,52.43,1568515.0,26.883838
ADI,2015-01-30,52.82,52.105,53.36,52.05,1928787.0,26.315657
ADI,2015-02-02,52.1,52.295,52.47,51.29,2536001.0,26.411616
ADI,2015-02-03,52.59,53.97,54.04,52.57,2214496.0,27.257576
ADI,2015-02-04,53.64,53.78,54.15,53.45,1466507.0,27.161616
ADI,2015-02-05,53.8,54.95,55.01,53.5,2207611.0,27.752525
ADI,2015-02-06,54.87,55.005,55.89,54.81,1917791.0,27.780303
ADI,2015-02-09,54.71,54.555,55.11,54.4,1436564.0,27.55303
ADI,2015-02-10,54.75,55.54,55.6,54.39,1253540.0,28.050505
ADI,2015-02-11,55.53,55.62,56.0,55.24,909107.0,28.090909
ADI,2015-02-12,56.36,56.715,56.73,55.9549,1687354.0,28.643939
ADI,2015-02-13,56.84,57.05,57.24,56.5,1404801.0,28.813131
ADI,2015-02-17,56.5,58.81,58.86,56.41,5685078.0,28.410628
ADI,2015-02-18,58.4,58.38,58.73,57.1,4095264.0,28.202899
ADI,2015-02-19,58.41,58.65,58.67,58.17,1837943.0,28.333333
ADI,2015-02-20,58.62,59.13,59.14,58.1801,1420171.0,28.565217
ADI,2015-02-23,58.95,58.98,58.99,58.39,1029469.0,28.492754
ADI,2015-02-24,58.9,59.61,59.65,57.82,1862750.0,28.797101
ADI,2015-02-25,59.31,58.99,59.39,58.8,1345105.0,28.497585
ADI,2015-02-26,59.06,58.88,59.22,58.59,1671648.0,28.444444
