Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AIZ,2015-01-02,68.52,67.77,68.82,67.48,452440.0,9.429526
AIZ,2015-01-05,67.65,66.25,67.76,65.99,655047.0,9.218033
AIZ,2015-01-06,66.23,65.33,66.84,65.16,686003.0,9.090024
AIZ,2015-01-07,65.7,65.59,66.15,65.2,576654.0,9.1262
AIZ,2015-01-08,66.2,66.57,66.85,66.09,759735.0,9.262557
AIZ,2015-01-09,66.81,66.34,66.86,65.93,602217.0,9.230555
AIZ,2015-01-12,66.48,66.02,66.69,65.64,488558.0,9.18603
AIZ,2015-01-13,66.43,66.02,67.53,65.51,556389.0,9.18603
AIZ,2015-01-14,65.08,65.52,65.535,64.6,505255.0,9.11646
AIZ,2015-01-15,65.4,64.66,65.61,64.26,726791.0,8.9968
AIZ,2015-01-16,64.65,65.18,65.29,64.5,609328.0,9.069153
AIZ,2015-01-20,65.19,64.45,65.5,64.16,412500.0,8.96758
AIZ,2015-01-21,64.2,64.96,65.03,63.78,695950.0,9.038542
AIZ,2015-01-22,65.41,65.96,66.09,64.75,440460.0,9.177682
AIZ,2015-01-23,65.8,65.28,66.12,65.259,419077.0,9.083067
AIZ,2015-01-26,65.12,65.37,65.6,64.83,412732.0,9.095589
AIZ,2015-01-27,64.68,65.12,65.38,64.67,454718.0,9.060804
AIZ,2015-01-28,65.58,63.83,65.68,63.79,544016.0,8.881313
AIZ,2015-01-29,64.08,64.44,64.6,63.57,373899.0,8.966189
AIZ,2015-01-30,63.75,63.51,64.54,63.37,698022.0,8.836789
AIZ,2015-02-02,63.57,64.58,64.65,63.275,367979.0,8.985669
AIZ,2015-02-03,64.74,65.66,65.72,64.6,399268.0,9.13594
AIZ,2015-02-04,65.53,65.56,66.13,65.39,372766.0,9.122026
AIZ,2015-02-05,65.57,66.28,66.32,65.5,264258.0,9.222207
AIZ,2015-02-06,66.55,66.35,67.19,66.15,356193.0,9.231947
AIZ,2015-02-09,65.95,65.84,66.4,65.6805,346278.0,9.160985
AIZ,2015-02-10,66.33,66.05,66.4,65.72,347740.0,9.190205
AIZ,2015-02-11,65.94,66.3,66.53,65.94,286414.0,9.22499
AIZ,2015-02-12,66.49,66.42,66.97,65.89,749325.0,10.313665
AIZ,2015-02-13,62.49,61.44,63.16,61.15,2456401.0,9.540373
AIZ,2015-02-17,61.49,60.87,61.88,60.69,1349418.0,9.451863
AIZ,2015-02-18,60.46,60.57,61.1,60.12,1230374.0,9.40528
AIZ,2015-02-19,60.27,60.83,61.04,60.03,1309891.0,9.445652
AIZ,2015-02-20,60.59,60.67,60.8,59.82,1241213.0,9.420807
AIZ,2015-02-23,60.63,60.22,60.74,60.01,463159.0,9.350932
AIZ,2015-02-24,59.88,60.75,60.84,59.832,790532.0,9.43323
AIZ,2015-02-25,60.67,61.27,61.52,60.67,718275.0,9.513975
AIZ,2015-02-26,61.06,61.06,61.58,60.89,678677.0,9.481366
AIZ,2015-02-27,61.09,61.27,61.665,60.91,580419.0,9.513975
AIZ,2015-03-02,61.16,61.69,61.73,60.63,490587.0,9.579193
