Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AJG,2015-01-02,47.25,46.98,47.49,46.535,540583.0,22.045988
AJG,2015-01-05,46.67,46.7,46.83,46.36,744086.0,21.914594
AJG,2015-01-06,46.67,46.61,46.95,46.27,931729.0,21.87236
AJG,2015-01-07,46.87,47.06,47.12,46.48,643674.0,22.083529
AJG,2015-01-08,47.3,47.88,48.04,47.17,803555.0,22.468325
AJG,2015-01-09,47.84,47.23,47.88,47.18,436130.0,22.163304
AJG,2015-01-12,47.16,47.08,47.47,46.75,453431.0,22.092914
AJG,2015-01-13,47.51,47.31,48.11,46.87,677609.0,22.200845
AJG,2015-01-14,46.84,46.98,47.17,46.52,395849.0,22.045988
AJG,2015-01-15,46.96,46.7,47.44,46.66,551980.0,21.914594
AJG,2015-01-16,46.16,46.18,46.445,45.75,1585712.0,21.670577
AJG,2015-01-20,46.2,45.58,46.48,45.4,792489.0,21.389019
AJG,2015-01-21,45.52,45.34,45.74,45.0549,653401.0,21.276396
AJG,2015-01-22,45.64,46.17,46.17,45.37,803524.0,21.665885
AJG,2015-01-23,46.15,45.51,46.33,45.49,628066.0,21.356171
AJG,2015-01-26,45.58,45.7,45.7,45.23,812257.0,21.445331
AJG,2015-01-27,45.41,45.32,45.7299,45.14,580612.0,21.267011
AJG,2015-01-28,45.55,44.93,45.786,44.85,1206738.0,21.083998
AJG,2015-01-29,45.02,45.09,45.17,44.49,753896.0,21.15908
AJG,2015-01-30,44.98,44.43,45.116,44.41,871004.0,20.849366
AJG,2015-02-02,44.5,45.16,45.16,44.24,996783.0,21.191929
AJG,2015-02-03,45.2,45.63,45.7,44.95,1178814.0,23.162437
AJG,2015-02-04,45.9,46.32,46.84,45.81,1325248.0,23.51269
AJG,2015-02-05,46.21,46.45,46.56,46.0,878981.0,23.57868
AJG,2015-02-06,46.46,46.32,46.77,46.17,725567.0,23.51269
AJG,2015-02-09,46.11,46.0,46.11,45.66,873236.0,23.350254
