Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AKAM,2015-01-02,63.48,63.25,63.9,62.521,851990.0,36.142857
AKAM,2015-01-05,61.67,61.94,62.34,60.7558,2237401.0,35.394286
AKAM,2015-01-06,62.19,60.67,62.19,60.1,1411606.0,34.668571
AKAM,2015-01-07,60.86,60.16,60.96,59.93,1848677.0,34.377143
AKAM,2015-01-08,60.86,61.57,61.86,60.6,1207365.0,35.182857
AKAM,2015-01-09,61.12,60.78,62.04,60.71,1171259.0,34.731429
AKAM,2015-01-12,61.37,60.75,61.59,59.94,1435126.0,34.714286
AKAM,2015-01-13,61.57,60.79,62.33,60.05,1521825.0,34.737143
AKAM,2015-01-14,60.41,59.71,60.61,59.06,2043675.0,34.12
AKAM,2015-01-15,59.8,58.63,60.31,58.55,1460562.0,33.502857
AKAM,2015-01-16,58.51,59.22,59.28,58.16,1121626.0,33.84
AKAM,2015-01-20,59.75,59.65,59.93,59.08,1265913.0,34.085714
AKAM,2015-01-21,59.27,60.265,60.52,59.12,1172144.0,34.437143
AKAM,2015-01-22,60.37,60.64,60.64,59.46,1384106.0,34.651429
AKAM,2015-01-23,60.64,61.02,61.29,60.47,1009523.0,34.868571
AKAM,2015-01-26,61.11,61.17,61.41,60.5801,675534.0,34.954286
AKAM,2015-01-27,60.37,60.29,61.06,59.49,1118636.0,34.451429
AKAM,2015-01-28,60.88,58.99,60.88,58.98,1132798.0,33.708571
AKAM,2015-01-29,58.82,59.95,60.09,58.25,1414367.0,34.257143
AKAM,2015-01-30,59.4,58.155,59.645,58.07,1547955.0,33.231429
AKAM,2015-02-02,58.6,58.49,58.6,56.85,1366381.0,33.422857
AKAM,2015-02-03,58.68,60.115,60.23,58.68,1308034.0,34.351429
AKAM,2015-02-04,60.16,59.95,60.75,59.86,1598292.0,34.257143
AKAM,2015-02-05,60.28,60.49,60.95,60.02,1446044.0,34.565714
AKAM,2015-02-06,60.45,61.13,61.8,60.44,1799572.0,34.931429
AKAM,2015-02-09,60.95,60.96,61.57,60.59,1822180.0,34.834286
AKAM,2015-02-10,61.3,62.21,62.37,60.3,3562368.0,33.809783
AKAM,2015-02-11,64.92,63.75,65.2,62.9,4859436.0,34.646739
AKAM,2015-02-12,64.25,67.59,67.7,63.8,4207819.0,36.733696
AKAM,2015-02-13,67.61,68.77,69.1,67.34,2862582.0,37.375
AKAM,2015-02-17,68.89,70.36,70.86,68.0,3549750.0,38.23913
AKAM,2015-02-18,70.1,70.29,70.58,69.67,1631028.0,38.201087
AKAM,2015-02-19,70.08,71.56,71.72,70.0,1903677.0,38.891304
AKAM,2015-02-20,71.6,71.62,71.83,70.98,1401542.0,38.923913
AKAM,2015-02-23,71.7,70.24,71.8,70.03,1705098.0,38.173913
AKAM,2015-02-24,70.0,70.12,70.83,69.77,1086785.0,38.108696
AKAM,2015-02-25,70.01,69.45,70.52,69.2,1711200.0,37.744565
AKAM,2015-02-26,69.54,69.555,70.27,69.044,991724.0,37.80163
AKAM,2015-02-27,69.41,69.51,69.75,68.8,1434958.0,37.777174
AKAM,2015-03-02,69.8,71.13,71.15,69.56,2072675.0,38.657609
AKAM,2015-03-03,69.91,69.86,70.63,69.69,1209903.0,37.967391
AKAM,2015-03-04,69.42,71.05,71.05,69.28,2362191.0,38.61413
AKAM,2015-03-05,71.55,71.09,71.55,70.6,1694277.0,38.63587
AKAM,2015-03-06,70.63,69.96,71.19,69.81,1544094.0,38.021739
AKAM,2015-03-09,69.97,69.6,70.16,69.4,1581308.0,37.826087
AKAM,2015-03-10,69.12,69.2,69.71,68.51,1830927.0,37.608696
AKAM,2015-03-11,69.49,70.36,70.66,69.39,1661869.0,38.23913
