Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
ALNY,2015-01-02,97.97,97.77,99.905,96.31,380975.0,
ALNY,2015-01-05,96.44,95.38,96.5,93.81,615685.0,
ALNY,2015-01-06,95.77,94.02,97.82,92.4,922843.0,
ALNY,2015-01-07,94.85,94.86,95.82,93.88,601387.0,
ALNY,2015-01-08,97.35,101.7,102.0,94.59,800883.0,
ALNY,2015-01-09,102.14,101.3,102.62,97.9992,625596.0,
ALNY,2015-01-12,103.22,103.78,106.8288,102.58,773744.0,
ALNY,2015-01-13,105.57,104.97,108.865,104.35,689823.0,
ALNY,2015-01-14,102.41,103.55,105.42,101.301,421294.0,
ALNY,2015-01-15,103.78,98.64,103.9,98.225,496094.0,
ALNY,2015-01-16,98.14,100.77,101.03,97.19,512705.0,
ALNY,2015-01-20,100.49,96.25,102.0,95.89,783387.0,
ALNY,2015-01-21,92.5,87.36,92.87,86.58,5035536.0,
ALNY,2015-01-22,88.95,93.17,93.56,85.0301,2415870.0,
ALNY,2015-01-23,92.66,93.42,94.99,91.27,698689.0,
ALNY,2015-01-26,93.41,95.205,96.2,93.41,861859.0,
ALNY,2015-01-27,94.25,95.5,96.34,94.25,676086.0,
ALNY,2015-01-28,96.8,90.88,96.8,90.45,871211.0,
ALNY,2015-01-29,92.57,93.43,93.51,90.0,1008796.0,
ALNY,2015-01-30,92.56,93.83,95.36,91.56,1026073.0,
ALNY,2015-02-02,94.75,92.26,94.78,90.4,631680.0,
ALNY,2015-02-03,93.18,88.85,93.2299,86.18,919599.0,
ALNY,2015-02-04,88.4,85.57,88.7399,82.06,775743.0,
ALNY,2015-02-05,86.16,91.15,91.579,85.61,607772.0,
ALNY,2015-02-06,89.86,89.1,92.39,88.051,455849.0,
ALNY,2015-02-09,89.11,87.8,90.9,87.26,276368.0,
ALNY,2015-02-10,88.66,93.01,93.56,88.66,706341.0,
ALNY,2015-02-11,92.12,93.41,94.92,91.61,617693.0,
ALNY,2015-02-12,94.95,93.87,94.95,91.02,598310.0,
ALNY,2015-02-13,96.0,95.54,96.15,93.0,495618.0,
ALNY,2015-02-17,95.17,96.68,97.78,93.81,492308.0,
ALNY,2015-02-18,96.85,97.21,97.34,93.75,519311.0,
ALNY,2015-02-19,96.81,98.94,99.18,96.2,461045.0,
ALNY,2015-02-20,98.67,102.39,102.66,98.0501,499626.0,
ALNY,2015-02-23,102.85,104.1,105.35,100.0,753039.0,
ALNY,2015-02-24,104.14,105.23,105.78,102.93,600976.0,
ALNY,2015-02-25,105.1,106.66,107.8,104.14,701236.0,
ALNY,2015-02-26,106.36,104.39,106.9,102.38,403086.0,
ALNY,2015-02-27,104.8,101.53,105.48,100.03,574929.0,
ALNY,2015-03-02,102.51,105.4,105.7,101.79,442879.0,
ALNY,2015-03-03,105.98,106.91,107.23,102.9,437572.0,
ALNY,2015-03-04,106.13,107.23,109.32,104.51,632020.0,
ALNY,2015-03-05,108.46,111.56,115.43,107.3,927331.0,
ALNY,2015-03-06,112.42,107.67,113.03,107.05,448218.0,
ALNY,2015-03-09,107.15,106.95,108.49,103.58,581892.0,
ALNY,2015-03-10,106.03,109.75,112.19,104.53,626281.0,
ALNY,2015-03-11,110.48,113.6,114.54,108.71,641531.0,
ALNY,2015-03-12,114.17,113.9,114.39,111.12,519296.0,
ALNY,2015-03-13,114.08,113.57,114.8,111.71,347824.0,
ALNY,2015-03-16,114.47,115.94,117.0,112.41,483730.0,
ALNY,2015-03-17,116.81,116.29,120.0,114.71,765166.0,
ALNY,2015-03-18,115.65,112.8,116.87,111.34,1045065.0,
ALNY,2015-03-19,113.92,119.7,121.93,113.0,805142.0,
ALNY,2015-03-20,120.58,117.46,120.7725,116.29,1209751.0,
ALNY,2015-03-23,116.41,111.49,116.49,110.52,895307.0,
ALNY,2015-03-24,112.36,110.06,113.05,107.8,644878.0,
ALNY,2015-03-25,108.97,101.78,110.9685,101.61,787734.0,
ALNY,2015-03-26,98.64,99.64,101.97,97.2,768495.0,
ALNY,2015-03-27,99.75,104.06,104.96,99.72,850161.0,
ALNY,2015-03-30,105.0,107.78,107.98,101.8403,741496.0,
ALNY,2015-03-31,107.0,104.42,109.63,104.32,669761.0,
ALNY,2015-04-01,103.76,105.26,105.32,98.63,828770.0,
ALNY,2015-04-02,105.57,104.41,106.98,101.99,539536.0,
ALNY,2015-04-06,103.37,103.69,106.5899,103.2,579384.0,
ALNY,2015-04-07,103.8,104.05,108.23,103.8,402562.0,
ALNY,2015-04-08,104.99,106.5,107.58,104.36,571556.0,
ALNY,2015-04-09,106.38,107.8,109.08,104.65,651764.0,
ALNY,2015-04-10,108.0,114.22,114.69,108.0,726425.0,
ALNY,2015-04-13,114.24,115.24,117.46,114.12,567225.0,
ALNY,2015-04-14,115.18,116.67,118.93,114.0,655425.0,
ALNY,2015-04-15,117.0,120.0,121.22,116.82,686941.0,
ALNY,2015-04-16,120.34,121.37,123.72,118.5,478989.0,
ALNY,2015-04-17,120.45,116.98,121.03,115.97,835664.0,
ALNY,2015-04-20,118.52,118.68,120.0,115.94,460838.0,
ALNY,2015-04-21,130.02,120.7,132.99,119.01,1367248.0,
ALNY,2015-04-22,121.03,118.0,124.0,117.91,1093644.0,
ALNY,2015-04-23,117.47,118.72,119.67,116.87,744540.0,
ALNY,2015-04-24,118.04,119.01,120.28,116.81,322919.0,
ALNY,2015-04-27,118.99,108.43,119.63,107.2,865047.0,
ALNY,2015-04-28,108.88,104.69,111.34,102.5,1014331.0,
ALNY,2015-04-29,104.01,104.01,106.61,101.56,608246.0,
