Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AMAT,2015-01-02,24.99,24.96,25.16,24.6,6910202.0,28.689655
AMAT,2015-01-05,24.75,24.16,24.9,24.145,11419770.0,27.770115
AMAT,2015-01-06,24.13,23.25,24.3,23.23,19686030.0,26.724138
AMAT,2015-01-07,23.37,23.465,23.54,23.09,15710320.0,26.971264
AMAT,2015-01-08,23.69,24.215,24.32,23.67,16696850.0,27.833333
AMAT,2015-01-09,24.1,24.24,24.34,23.9,8737159.0,27.862069
AMAT,2015-01-12,24.27,23.66,24.28,23.52,12581530.0,27.195402
AMAT,2015-01-13,23.9,23.33,24.275,23.21,14419270.0,26.816092
AMAT,2015-01-14,23.01,23.02,23.32,22.85,21954660.0,26.45977
AMAT,2015-01-15,23.57,23.325,23.72,23.24,26527390.0,26.810345
AMAT,2015-01-16,23.21,23.47,23.51,22.88,16733220.0,26.977011
AMAT,2015-01-20,23.58,23.63,23.77,23.305,13686010.0,27.16092
AMAT,2015-01-21,23.75,24.32,24.5,23.64,13106660.0,27.954023
AMAT,2015-01-22,24.3,24.62,24.63,23.765,12543540.0,28.298851
AMAT,2015-01-23,24.52,24.11,24.52,23.965,13218580.0,27.712644
AMAT,2015-01-26,24.11,24.24,24.3,23.81,7787734.0,27.862069
AMAT,2015-01-27,23.86,23.57,23.99,23.4,13425230.0,27.091954
AMAT,2015-01-28,23.78,23.375,24.2,23.35,10842960.0,26.867816
AMAT,2015-01-29,23.37,23.62,23.72,23.06,8518901.0,27.149425
AMAT,2015-01-30,23.39,22.84,23.72,22.79,13074460.0,26.252874
AMAT,2015-02-02,22.92,22.855,23.0,22.29,14152220.0,26.270115
AMAT,2015-02-03,22.87,23.45,23.47,22.8301,11810760.0,26.954023
AMAT,2015-02-04,23.46,23.62,23.845,23.44,14635940.0,27.149425
AMAT,2015-02-05,23.63,23.96,24.05,23.37,13207030.0,27.54023
AMAT,2015-02-06,24.06,24.235,24.67,23.93,16898680.0,27.856322
AMAT,2015-02-09,24.0,23.51,24.05,23.48,11718190.0,27.022989
AMAT,2015-02-10,23.7,24.28,24.31,23.48,11140090.0,27.908046
AMAT,2015-02-11,24.27,24.26,24.35,23.99,14902180.0,25.808511
AMAT,2015-02-12,23.65,24.14,24.31,23.58,19818350.0,25.680851
AMAT,2015-02-13,24.07,24.12,24.53,23.94,12979020.0,25.659574
AMAT,2015-02-17,23.99,24.13,24.315,23.89,12948680.0,25.670213
AMAT,2015-02-18,24.1,24.1,24.24,23.9,11429670.0,25.638298
AMAT,2015-02-19,24.01,24.93,25.39,24.01,29232450.0,26.521277
AMAT,2015-02-20,24.92,25.13,25.57,24.8,23555650.0,26.734043
AMAT,2015-02-23,25.05,24.91,25.25,24.75,14203100.0,26.5
AMAT,2015-02-24,24.99,25.36,25.39,24.89,13375060.0,26.978723
AMAT,2015-02-25,25.24,25.1,25.39,24.91,11742680.0,26.702128
AMAT,2015-02-26,25.05,24.91,25.05,24.45,21342150.0,26.5
AMAT,2015-02-27,24.88,25.05,25.25,24.74,13294330.0,26.648936
AMAT,2015-03-02,24.94,25.63,25.64,24.94,17091130.0,27.265957
AMAT,2015-03-03,25.46,24.485,25.472,24.45,18989690.0,26.047872
AMAT,2015-03-04,24.44,24.27,24.45,23.96,12448610.0,25.819149
AMAT,2015-03-05,24.29,24.18,24.35,24.07,10047360.0,25.723404
AMAT,2015-03-06,24.11,23.91,24.21,23.65,18044120.0,25.43617
AMAT,2015-03-09,23.8,24.09,24.19,23.8,9924301.0,25.62766
AMAT,2015-03-10,23.94,23.51,24.05,23.48,11622050.0,25.010638
AMAT,2015-03-11,23.64,23.455,23.83,23.435,16238710.0,24.952128
AMAT,2015-03-12,23.34,23.77,23.78,23.23,14311030.0,25.287234
AMAT,2015-03-13,23.98,24.24,24.32,23.93,14834870.0,25.787234
AMAT,2015-03-16,24.34,24.57,24.59,24.18,12944460.0,26.138298
AMAT,2015-03-17,24.4,24.205,24.49,24.145,12973610.0,25.75
AMAT,2015-03-18,24.07,24.365,24.4,23.5,23018280.0,25.920213
AMAT,2015-03-19,24.37,24.08,24.37,23.97,9698597.0,25.617021
AMAT,2015-03-20,24.24,24.12,24.31,24.1,17346630.0,25.659574
AMAT,2015-03-23,24.14,23.97,24.46,23.96,11439930.0,25.5
AMAT,2015-03-24,24.0,23.895,24.26,23.841,11834890.0,25.420213
AMAT,2015-03-25,23.88,22.625,23.9499,22.5,25737240.0,24.069149
AMAT,2015-03-26,22.25,22.4,22.88,21.8,34670390.0,23.829787
AMAT,2015-03-27,22.51,22.83,22.95,22.31,20147090.0,24.287234
AMAT,2015-03-30,22.98,22.77,23.09,22.62,19359230.0,24.223404
AMAT,2015-03-31,22.55,22.56,22.76,22.43,13746630.0,24.0
AMAT,2015-04-01,22.53,22.39,22.67,22.175,16055290.0,23.819149
AMAT,2015-04-02,22.48,22.27,22.605,22.2,9281092.0,23.691489
AMAT,2015-04-06,22.1,22.16,22.26,21.94,32215480.0,23.574468
AMAT,2015-04-07,22.19,21.985,22.27,21.79,28793590.0,23.388298
AMAT,2015-04-08,22.01,22.38,22.42,22.0,18046130.0,23.808511
AMAT,2015-04-09,22.31,22.51,22.58,22.11,14365460.0,23.946809
AMAT,2015-04-10,22.44,22.5,22.58,22.22,12044670.0,23.93617
AMAT,2015-04-13,22.44,22.33,22.575,22.31,8908989.0,23.755319
AMAT,2015-04-14,22.21,22.195,22.34,22.04,12358380.0,23.611702
AMAT,2015-04-15,22.06,22.55,22.705,22.0525,15020990.0,23.989362
AMAT,2015-04-16,22.2,21.88,22.22,21.71,33201490.0,23.276596
AMAT,2015-04-17,21.7,21.49,21.759,21.365,20698390.0,22.861702
AMAT,2015-04-20,21.71,21.76,21.93,21.68,13365230.0,23.148936
AMAT,2015-04-21,22.27,22.29,22.67,22.055,30028400.0,23.712766
AMAT,2015-04-22,22.26,22.31,22.42,22.01,11528370.0,23.734043
AMAT,2015-04-23,22.14,22.17,22.235,21.9525,9290279.0,23.585106
AMAT,2015-04-24,22.27,21.8,22.35,21.75,14287160.0,23.191489
AMAT,2015-04-27,20.53,19.97,20.55,19.64,219415200.0,21.244681
AMAT,2015-04-28,20.13,20.04,20.49,19.99,55701400.0,21.319149
AMAT,2015-04-29,19.95,20.01,20.01,19.63,31274210.0,21.287234
AMAT,2015-04-30,19.92,19.79,19.92,19.645,33200140.0,21.053191
AMAT,2015-05-01,19.93,19.98,20.11,19.82,27346040.0,21.255319
AMAT,2015-05-04,19.98,19.88,20.08,19.86,14802900.0,21.148936
AMAT,2015-05-05,19.77,19.36,19.84,19.32,27823300.0,20.595745
AMAT,2015-05-06,19.45,19.445,19.56,19.165,24425060.0,20.68617
AMAT,2015-05-07,19.21,19.56,19.67,19.2,14345880.0,20.808511
AMAT,2015-05-08,19.78,19.69,19.85,19.65,15655320.0,20.946809
AMAT,2015-05-11,19.8,19.92,19.96,19.73,18837110.0,21.191489
AMAT,2015-05-12,19.91,19.89,19.99,19.78,15269920.0,21.159574
AMAT,2015-05-13,19.95,19.93,20.04,19.78,23811230.0,21.202128
AMAT,2015-05-14,20.03,19.86,20.1,19.785,30896510.0,19.470588
AMAT,2015-05-15,20.57,20.2,20.59,20.12,55400660.0,19.803922
AMAT,2015-05-18,20.26,20.19,20.34,20.02,24351930.0,19.794118
AMAT,2015-05-19,20.2,19.99,20.33,19.93,22054900.0,19.598039
AMAT,2015-05-20,19.95,19.91,20.07,19.87,17596210.0,19.519608
AMAT,2015-05-21,19.83,20.15,20.26,19.82,11820900.0,19.754902
AMAT,2015-05-22,20.18,20.14,20.28,20.07,13257220.0,19.745098
AMAT,2015-05-26,20.11,19.99,20.24,19.88,15116990.0,19.598039
AMAT,2015-05-27,19.96,20.34,20.495,19.96,16439240.0,19.941176
AMAT,2015-05-28,20.34,20.36,20.6,20.29,18479790.0,19.960784
AMAT,2015-05-29,20.43,20.13,20.43,20.06,17857100.0,19.735294
AMAT,2015-06-01,20.03,20.31,20.34,20.03,11839690.0,19.911765
AMAT,2015-06-02,20.27,20.375,20.59,20.09,15954110.0,19.97549
AMAT,2015-06-03,20.54,20.36,20.59,20.33,9133955.0,19.960784
AMAT,2015-06-04,20.24,20.06,20.31,19.86,17684750.0,19.666667
AMAT,2015-06-05,20.04,20.15,20.23,19.935,12782590.0,19.754902
