Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AON,2015-01-02,95.49,94.33,96.05,93.6,934006.0,22.158797
AON,2015-01-05,93.88,93.42,94.31,93.03,1107572.0,21.945032
AON,2015-01-06,93.97,92.86,94.93,92.64,1793977.0,21.813484
AON,2015-01-07,92.71,93.92,93.98,92.3001,1190289.0,22.062485
AON,2015-01-08,94.54,95.3,95.86,94.46,1444122.0,22.386657
AON,2015-01-09,95.27,94.78,95.49,94.47,911246.0,22.264506
AON,2015-01-12,94.66,93.44,95.23,93.4,967705.0,21.94973
AON,2015-01-13,94.2,93.83,95.64,93.23,952366.0,22.041344
AON,2015-01-14,92.64,93.69,93.73,92.16,1529505.0,22.008457
AON,2015-01-15,93.75,93.55,94.57,93.04,1073203.0,21.97557
AON,2015-01-16,93.73,95.56,95.62,93.63,1402922.0,22.447733
AON,2015-01-20,95.92,94.67,96.16,94.1,948988.0,22.238666
AON,2015-01-21,94.29,94.55,95.4,93.35,959967.0,22.210477
AON,2015-01-22,94.89,95.7,96.04,94.13,1261245.0,22.48062
AON,2015-01-23,95.98,94.42,96.3,94.35,865465.0,22.179939
AON,2015-01-26,94.24,94.17,94.6,93.74,755445.0,22.121212
AON,2015-01-27,93.59,93.34,94.17,92.82,866919.0,21.926239
AON,2015-01-28,93.84,91.09,94.05,91.04,1425189.0,21.397698
AON,2015-01-29,90.83,91.18,91.43,90.34,1249482.0,21.41884
AON,2015-01-30,90.22,90.05,90.94,89.35,2157343.0,21.153394
AON,2015-02-02,90.36,91.85,91.88,89.65,1254530.0,21.576227
AON,2015-02-03,92.21,92.77,92.81,91.99,1105125.0,21.792342
AON,2015-02-04,92.6,93.12,93.69,92.49,1387079.0,21.87456
AON,2015-02-05,93.2,93.72,93.99,92.88,1304705.0,22.015504
AON,2015-02-06,94.99,96.42,97.0,94.96,2794447.0,20.690987
AON,2015-02-09,96.18,96.64,96.96,95.76,1291969.0,20.738197
AON,2015-02-10,97.0,98.19,98.34,96.96,1674036.0,21.070815
AON,2015-02-11,98.27,100.08,100.245,98.01,1687138.0,21.476395
AON,2015-02-12,100.02,100.74,100.99,99.89,1627307.0,21.618026
AON,2015-02-13,100.58,100.56,101.3,100.3,1476586.0,21.579399
AON,2015-02-17,100.3,100.71,101.18,100.3,1369701.0,21.611588
AON,2015-02-18,100.69,100.56,101.22,99.77,1251924.0,21.579399
AON,2015-02-19,100.32,100.28,100.66,99.95,811143.0,21.519313
AON,2015-02-20,100.0,100.34,100.49,99.23,1264767.0,21.532189
