Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
APD,2015-01-02,143.39,145.43,145.84,142.88,1347373.0,31.539796
APD,2015-01-05,144.36,140.78,144.36,139.72,1764222.0,30.531338
APD,2015-01-06,141.49,140.73,142.75,139.71,1188269.0,30.520494
APD,2015-01-07,141.83,142.25,142.65,140.73,677102.0,30.850141
APD,2015-01-08,142.9,145.54,145.9,142.9,998517.0,31.563652
APD,2015-01-09,145.88,143.36,145.88,143.2,743248.0,31.09087
APD,2015-01-12,143.25,142.37,143.34,141.53,530427.0,30.876166
APD,2015-01-13,143.27,141.62,144.285,140.1,691361.0,30.713511
APD,2015-01-14,139.49,139.93,140.22,137.62,1023910.0,30.346996
APD,2015-01-15,141.34,139.46,142.05,139.1,921237.0,30.245066
APD,2015-01-16,139.5,139.71,140.4,137.07,1464001.0,30.299284
APD,2015-01-20,140.97,141.38,141.72,138.98,968991.0,30.661462
APD,2015-01-21,141.33,143.1,143.66,140.63,747115.0,31.034483
APD,2015-01-22,143.79,144.32,144.46,141.63,883436.0,31.299067
APD,2015-01-23,144.0,143.46,144.08,142.21,848611.0,31.112557
APD,2015-01-26,143.06,143.08,143.55,141.68,1218343.0,31.030145
APD,2015-01-27,141.56,141.85,143.17,140.49,1240451.0,30.763392
APD,2015-01-28,142.25,138.83,142.9,138.39,1854137.0,30.108436
APD,2015-01-29,143.0,146.99,148.05,143.0,3451223.0,30.880252
APD,2015-01-30,145.65,145.61,149.0,145.0,2650289.0,30.590336
APD,2015-02-02,144.37,147.68,148.16,141.88,1360130.0,31.02521
APD,2015-02-03,148.49,148.41,149.15,146.56,1313913.0,31.178571
APD,2015-02-04,148.06,148.42,149.5,147.23,988181.0,31.180672
APD,2015-02-05,149.28,151.52,151.57,148.95,1207796.0,31.831933
APD,2015-02-06,151.27,150.32,151.78,149.77,748607.0,31.579832
APD,2015-02-09,150.2,149.77,151.095,149.34,864493.0,31.464286
APD,2015-02-10,150.02,150.29,150.86,148.65,915605.0,31.573529
APD,2015-02-11,149.89,150.01,150.54,148.74,756028.0,31.514706
APD,2015-02-12,150.98,152.22,152.57,150.115,1440213.0,31.978992
APD,2015-02-13,152.06,152.81,153.58,151.79,727941.0,32.102941
APD,2015-02-17,152.52,153.46,154.19,152.2,827312.0,32.239496
APD,2015-02-18,153.46,153.87,154.03,152.6,715628.0,32.32563
APD,2015-02-19,154.5,156.08,157.11,154.05,960536.0,32.789916
APD,2015-02-20,155.81,157.66,157.73,154.61,898430.0,33.121849
APD,2015-02-23,156.82,156.1,157.36,155.84,830199.0,32.794118
APD,2015-02-24,156.44,156.98,157.54,155.95,741085.0,32.978992
APD,2015-02-25,156.98,157.05,157.64,156.81,450771.0,32.993697
APD,2015-02-26,156.74,156.63,157.28,155.85,514254.0,32.905462
APD,2015-02-27,156.78,156.14,156.87,155.95,648685.0,32.802521
APD,2015-03-02,156.25,158.13,158.2,156.0,882978.0,33.220588
APD,2015-03-03,157.84,156.06,158.2,155.86,686408.0,32.785714
APD,2015-03-04,155.9,154.74,156.7,154.43,1122486.0,32.508403
APD,2015-03-05,154.8,154.86,155.06,154.195,611234.0,32.533613
APD,2015-03-06,153.75,152.61,154.21,152.305,993856.0,32.060924
APD,2015-03-09,153.27,153.89,154.25,152.97,591439.0,32.329832
APD,2015-03-10,152.46,152.1,152.75,151.28,966726.0,31.953782
APD,2015-03-11,152.65,151.3,152.79,151.29,798900.0,31.785714
APD,2015-03-12,152.12,153.29,153.47,152.0,731497.0,32.203782
APD,2015-03-13,152.69,152.0,153.135,151.12,678401.0,31.932773
APD,2015-03-16,152.9,152.63,153.44,151.95,653563.0,32.065126
APD,2015-03-17,152.31,152.64,153.24,151.38,790839.0,32.067227
APD,2015-03-18,151.76,154.68,155.79,150.35,1189206.0,32.495798
APD,2015-03-19,153.77,152.24,154.03,151.58,779084.0,31.983193
APD,2015-03-20,151.95,152.71,153.65,150.95,1866472.0,32.081933
APD,2015-03-23,152.71,151.89,153.2,151.89,814439.0,31.909664
APD,2015-03-24,152.0,152.18,152.8,151.64,632279.0,31.970588
APD,2015-03-25,152.31,150.66,153.62,150.63,831825.0,31.651261
APD,2015-03-26,149.92,151.16,151.96,148.91,843147.0,31.756303
APD,2015-03-27,151.29,152.75,153.17,150.36,1061846.0,32.090336
APD,2015-03-30,154.01,153.8,154.551,153.01,1598928.0,32.310924
APD,2015-03-31,153.23,151.28,154.11,151.16,1620571.0,31.781513
APD,2015-04-01,150.89,150.09,151.82,149.335,1410322.0,31.531513
APD,2015-04-02,149.83,151.04,151.72,149.605,588988.0,31.731092
APD,2015-04-06,151.07,152.09,152.53,150.62,875125.0,31.951681
APD,2015-04-07,151.71,151.18,153.44,151.12,662760.0,31.760504
APD,2015-04-08,151.43,150.97,152.23,150.22,641138.0,31.716387
APD,2015-04-09,150.97,152.05,152.2,150.52,541482.0,31.943277
APD,2015-04-10,152.24,151.92,152.51,150.99,509927.0,31.915966
APD,2015-04-13,151.56,150.58,152.5,150.54,815647.0,31.634454
APD,2015-04-14,151.02,151.84,152.4,150.51,956141.0,31.89916
APD,2015-04-15,152.36,152.35,153.93,151.96,809943.0,32.006303
APD,2015-04-16,152.0,151.59,152.0,150.75,621495.0,31.846639
APD,2015-04-17,150.75,149.85,151.39,148.63,982790.0,31.481092
APD,2015-04-20,150.5,151.37,151.59,149.86,662033.0,31.80042
APD,2015-04-21,152.0,151.93,152.39,151.07,676697.0,31.918067
APD,2015-04-22,151.81,151.47,152.12,150.36,539804.0,31.821429
APD,2015-04-23,151.22,150.6,151.49,150.03,618774.0,31.638655
APD,2015-04-24,150.66,150.06,151.08,149.37,1072680.0,31.52521
APD,2015-04-27,149.95,151.06,152.18,148.69,2014973.0,31.735294
APD,2015-04-28,150.85,152.96,153.58,149.81,2479971.0,32.134454
APD,2015-04-29,151.82,151.87,152.99,151.37,1391047.0,31.905462
APD,2015-04-30,153.35,143.43,153.35,142.27,4796493.0,30.06288
APD,2015-05-01,143.75,146.6,147.9,143.51,1949072.0,30.727311
APD,2015-05-04,147.93,147.58,149.08,147.11,1122401.0,30.932719
APD,2015-05-05,148.19,145.41,148.99,144.96,1018890.0,30.477887
APD,2015-05-06,146.39,145.55,147.13,144.7101,731205.0,30.507231
APD,2015-05-07,145.28,146.19,146.57,144.39,790516.0,30.641375
APD,2015-05-08,147.87,147.97,149.02,147.59,920947.0,31.014462
APD,2015-05-11,147.39,146.01,148.2799,145.96,909170.0,30.603647
APD,2015-05-12,144.95,144.48,145.73,144.15,763394.0,30.28296
APD,2015-05-13,144.66,144.95,146.05,143.625,1912978.0,30.381471
APD,2015-05-14,146.0,147.62,147.73,144.83,996111.0,30.941102
APD,2015-05-15,147.95,148.48,148.96,147.18,909009.0,31.121358
APD,2015-05-18,148.41,147.93,148.59,147.355,527017.0,31.006078
APD,2015-05-19,147.98,147.51,149.37,147.15,760600.0,30.918047
APD,2015-05-20,147.72,147.12,148.01,146.81,640723.0,30.836303
APD,2015-05-21,146.71,147.99,148.41,146.59,609236.0,31.018654
APD,2015-05-22,147.52,146.77,148.07,146.37,749916.0,30.762943
APD,2015-05-26,146.03,146.04,146.42,145.301,669623.0,30.609935
