Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AVGO,2015-01-02,10.093,10.009,10.22081,9.913,13500450.0,101.10101
AVGO,2015-01-05,10.007,9.849,10.082,9.84,15596030.0,99.484848
AVGO,2015-01-06,9.895,9.625,9.908,9.518,22194340.0,97.222222
AVGO,2015-01-07,9.705,9.885,9.939,9.653,30906850.0,99.848485
AVGO,2015-01-08,10.053,10.379,10.43,10.036,33349230.0,104.838384
AVGO,2015-01-09,10.447,10.4895,10.58,10.258,23432400.0,105.954545
AVGO,2015-01-12,10.507,10.316,10.564,10.2716,18698220.0,104.20202
AVGO,2015-01-13,10.378,10.258,10.738,10.1732,24337010.0,103.616162
AVGO,2015-01-14,10.111,10.339,10.349,10.001,20989140.0,104.434343
AVGO,2015-01-15,10.356,10.132,10.554,10.105,18373140.0,102.343434
AVGO,2015-01-16,10.069,10.382,10.391,10.031,15374850.0,104.868687
AVGO,2015-01-20,10.369,10.487,10.52399,10.258,12843870.0,105.929293
AVGO,2015-01-21,10.433,10.538,10.688,10.411,16463480.0,106.444444
AVGO,2015-01-22,10.598,10.52,10.649,10.152,20638570.0,106.262626
AVGO,2015-01-23,10.503,10.698,10.75,10.42501,15088160.0,108.060606
AVGO,2015-01-26,10.674,10.673,10.706,10.462,9610500.0,107.808081
AVGO,2015-01-27,10.507,10.479,10.598,10.28201,15242740.0,105.848485
AVGO,2015-01-28,10.712,10.5,10.834,10.486,23301900.0,106.060606
AVGO,2015-01-29,10.463,10.653,10.66,10.227,15841830.0,107.606061
AVGO,2015-01-30,10.529,10.288,10.673,10.262,16938020.0,103.919192
AVGO,2015-02-02,10.325,10.242,10.349,9.916,21580530.0,103.454545
AVGO,2015-02-03,10.25,10.32,10.37199,10.136,15389670.0,104.242424
AVGO,2015-02-04,10.293,10.48,10.528,10.245,16658250.0,105.858586
AVGO,2015-02-05,10.474,10.62,10.622,10.375,16585340.0,107.272727
AVGO,2015-02-06,10.627,10.474,10.711,10.426,10681550.0,105.79798
AVGO,2015-02-09,10.395,10.224,10.435,10.182,20346410.0,103.272727
AVGO,2015-02-10,10.304,10.704,10.746,10.28876,20397520.0,108.121212
