Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AXON,2015-01-02,26.7,26.51,26.75,25.56,2273899.0,71.648649
AXON,2015-01-05,26.15,25.69,26.399,25.46,2444314.0,69.432432
AXON,2015-01-06,26.11,25.57,26.2199,24.743,3447027.0,69.108108
AXON,2015-01-07,25.89,25.98,26.2,25.22,1646709.0,70.216216
AXON,2015-01-08,26.19,26.63,26.66,25.75,2393132.0,71.972973
AXON,2015-01-09,26.62,26.27,26.63,26.01,1445508.0,71.0
AXON,2015-01-12,26.24,25.84,26.41,25.53,1207461.0,69.837838
AXON,2015-01-13,26.11,25.72,26.84,25.4,2216211.0,69.513514
AXON,2015-01-14,25.33,25.91,26.24,25.12,1864868.0,70.027027
AXON,2015-01-15,26.18,25.23,26.33,25.21,1453469.0,68.189189
AXON,2015-01-16,25.3,25.36,25.62,24.9722,1628667.0,68.540541
AXON,2015-01-20,25.57,26.91,27.45,25.25,4409935.0,72.72973
AXON,2015-01-21,26.78,26.8,27.189,26.27,2266209.0,72.432432
AXON,2015-01-22,27.09,27.44,27.79,26.35,2385026.0,74.162162
AXON,2015-01-23,27.38,27.61,28.3,27.18,1757406.0,74.621622
AXON,2015-01-26,27.68,27.89,28.2299,27.6,1384766.0,75.378378
AXON,2015-01-27,27.47,27.69,28.03,27.38,1616099.0,74.837838
AXON,2015-01-28,27.9,27.28,28.19,27.28,1477408.0,73.72973
AXON,2015-01-29,27.23,27.81,27.82,26.56,1536797.0,75.162162
AXON,2015-01-30,27.52,27.01,27.9722,27.0,1231137.0,73.0
AXON,2015-02-02,26.98,26.9,27.02,25.92,1478775.0,72.702703
AXON,2015-02-03,26.9,25.8,27.24,25.66,2326886.0,69.72973
AXON,2015-02-04,25.8,26.42,26.65,25.77,1327742.0,71.405405
AXON,2015-02-05,26.55,26.98,27.0,26.28,1166607.0,72.918919
AXON,2015-02-06,26.98,26.64,27.16,26.3,1024806.0,72.0
AXON,2015-02-09,26.31,26.28,26.77,26.1201,770070.0,71.027027
AXON,2015-02-10,26.39,26.58,26.69,26.01,743293.0,71.837838
AXON,2015-02-11,26.5,26.27,26.7,26.245,959618.0,71.0
AXON,2015-02-12,26.36,27.38,27.39,26.36,1356675.0,74.0
AXON,2015-02-13,27.37,26.96,27.88,26.885,1173605.0,72.864865
AXON,2015-02-17,27.05,26.87,27.32,26.6,757405.0,72.621622
AXON,2015-02-18,26.76,26.99,27.1774,26.4,848697.0,72.945946
AXON,2015-02-19,26.84,27.16,27.6409,26.77,981968.0,73.405405
AXON,2015-02-20,27.23,27.58,27.77,27.04,1142293.0,74.540541
AXON,2015-02-23,27.72,27.76,27.93,27.22,1404917.0,75.027027
AXON,2015-02-24,27.62,27.51,27.92,27.25,1165778.0,74.351351
AXON,2015-02-25,27.42,27.05,27.57,26.73,2028949.0,73.108108
AXON,2015-02-26,25.62,22.685,25.85,22.19,13127590.0,61.310811
AXON,2015-02-27,23.41,23.48,23.93,23.1,5849426.0,63.459459
AXON,2015-03-02,23.4,22.64,23.5,22.38,3108642.0,61.189189
AXON,2015-03-03,22.78,21.93,22.9,21.54,3988198.0,59.27027
AXON,2015-03-04,21.75,22.65,22.98,21.45,2699365.0,61.216216
AXON,2015-03-05,22.84,22.535,22.9199,22.3,1547971.0,60.905405
AXON,2015-03-06,22.32,22.65,22.71,22.06,2126064.0,61.216216
AXON,2015-03-09,22.6,22.03,22.7999,21.94,1151984.0,59.540541
AXON,2015-03-10,21.65,21.84,21.963,21.39,1331183.0,59.027027
AXON,2015-03-11,21.83,22.06,22.25,21.7,1162278.0,59.621622
AXON,2015-03-12,22.47,24.13,24.4,22.302,3242321.0,65.216216
AXON,2015-03-13,24.1,23.93,24.19,23.69,1947639.0,64.675676
AXON,2015-03-16,23.95,23.53,24.15,23.3835,1179207.0,63.594595
AXON,2015-03-17,23.38,23.44,23.7,23.24,1015493.0,63.351351
AXON,2015-03-18,23.36,23.96,23.98,23.352,934824.0,64.756757
AXON,2015-03-19,23.83,24.37,24.49,23.8,1068303.0,65.864865
AXON,2015-03-20,24.59,24.09,24.6,24.0,1167957.0,65.108108
AXON,2015-03-23,24.05,24.29,24.6201,24.01,1304591.0,65.648649
AXON,2015-03-24,24.39,25.3,25.6525,24.39,1922601.0,68.378378
AXON,2015-03-25,25.22,24.35,25.45,24.21,1464503.0,65.810811
AXON,2015-03-26,24.17,24.21,24.3799,23.7901,938471.0,65.432432
AXON,2015-03-27,24.15,24.065,24.62,23.92,873178.0,65.040541
AXON,2015-03-30,24.15,24.63,24.88,24.13,767202.0,66.567568
AXON,2015-03-31,24.9,24.11,25.0,24.06,1216440.0,65.162162
AXON,2015-04-01,24.01,24.24,24.38,23.41,1020791.0,65.513514
AXON,2015-04-02,24.21,24.44,24.472,24.04,747924.0,66.054054
AXON,2015-04-06,24.19,24.51,24.71,24.16,654981.0,66.243243
AXON,2015-04-07,24.46,24.53,25.0,24.4,766270.0,66.297297
AXON,2015-04-08,24.85,25.16,25.32,24.14,1367589.0,68.0
AXON,2015-04-09,26.27,27.4,27.48,26.2,5254171.0,74.054054
AXON,2015-04-10,27.48,27.07,27.5,26.8,2000194.0,73.162162
AXON,2015-04-13,27.28,27.02,27.46,26.82,1054079.0,73.027027
AXON,2015-04-14,27.15,26.83,27.58,26.6,1293436.0,72.513514
AXON,2015-04-15,27.09,27.15,27.36,26.53,1546345.0,73.378378
AXON,2015-04-16,27.01,27.83,28.61,26.85,3256114.0,75.216216
AXON,2015-04-17,29.41,28.4,29.65,28.06,4558027.0,76.756757
AXON,2015-04-20,29.01,30.37,30.47,28.6,4136470.0,82.081081
AXON,2015-04-21,29.96,29.5,30.0,28.74,3068739.0,79.72973
AXON,2015-04-22,28.79,29.5,29.67,28.7,1558575.0,79.72973
AXON,2015-04-23,29.27,29.68,30.18,28.78,1643508.0,80.216216
AXON,2015-04-24,29.63,29.67,30.0,29.51,1272676.0,80.189189
AXON,2015-04-27,29.76,28.37,29.8999,28.1,2566442.0,76.675676
AXON,2015-04-28,28.85,28.89,29.35,28.05,3162858.0,78.081081
AXON,2015-04-29,28.76,28.07,28.79,27.88,2600806.0,75.864865
AXON,2015-04-30,30.74,30.19,31.15,29.24,8804780.0,68.45805
AXON,2015-05-01,30.5,32.37,33.23,30.5,6940730.0,73.401361
AXON,2015-05-04,32.83,33.7,34.24,32.18,6235888.0,76.417234
AXON,2015-05-05,33.97,34.6,35.0,33.87,6241226.0,78.45805
AXON,2015-05-06,34.98,34.41,34.98,33.51,3869903.0,78.027211
AXON,2015-05-07,33.25,32.58,33.35,31.94,4577513.0,73.877551
AXON,2015-05-08,32.79,31.94,32.89,31.12,4940677.0,72.426304
AXON,2015-05-11,32.0,33.19,33.9,31.86,3494717.0,75.260771
AXON,2015-05-12,32.85,33.66,34.0,32.525,2678581.0,76.326531
AXON,2015-05-13,34.0,33.54,34.49,33.47,1801535.0,76.054422
AXON,2015-05-14,33.55,33.7,33.95,33.0,1357404.0,76.417234
AXON,2015-05-15,33.61,32.97,33.69,32.6201,1867165.0,74.761905
AXON,2015-05-18,31.83,32.43,32.49,30.3801,4273309.0,73.537415
AXON,2015-05-19,32.56,32.35,33.0,32.25,1528619.0,73.356009
AXON,2015-05-20,32.3,31.86,32.48,31.42,1815607.0,72.244898
AXON,2015-05-21,31.9,32.26,32.9,31.9,1371000.0,73.151927
AXON,2015-05-22,32.38,31.87,32.4299,31.73,1129955.0,72.267574
AXON,2015-05-26,31.76,31.3,31.83,30.48,2778485.0,70.975057
AXON,2015-05-27,31.35,31.41,31.65,31.24,1167360.0,71.22449
AXON,2015-05-28,31.43,31.91,32.4,31.27,1646866.0,72.358277
