Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
AXP,2015-01-02,93.17,93.02,93.94,92.14,2445836.0,17.296393
AXP,2015-01-05,92.46,90.56,92.78,90.32,3478969.0,16.838974
AXP,2015-01-06,90.79,88.63,90.9,87.94,4808755.0,16.480104
AXP,2015-01-07,91.01,90.3,91.01,89.53,5665151.0,16.790628
AXP,2015-01-08,91.44,91.58,91.81,91.0,3781465.0,17.028635
AXP,2015-01-09,91.58,90.42,91.8,90.24,3681672.0,16.812942
AXP,2015-01-12,90.5,89.5,90.94,89.08,3230688.0,16.641874
AXP,2015-01-13,90.27,89.23,91.14,88.43,3537553.0,16.59167
AXP,2015-01-14,87.44,87.07,88.42,86.25,6628395.0,16.190033
AXP,2015-01-15,87.5,85.88,88.03,84.55,5830949.0,15.968762
AXP,2015-01-16,85.54,86.04,86.21,84.74,6768738.0,15.998512
AXP,2015-01-20,86.46,87.26,87.72,86.42,6364082.0,16.225363
AXP,2015-01-21,87.56,87.67,87.72,86.77,7185651.0,15.767986
AXP,2015-01-22,84.5,84.37,86.12,83.5,16390070.0,15.17446
AXP,2015-01-23,84.43,84.13,85.32,83.96,7366126.0,15.131295
AXP,2015-01-26,83.78,83.3,84.3,83.12,6632753.0,14.982014
AXP,2015-01-27,82.5,82.4,83.275,82.0801,6329531.0,14.820144
AXP,2015-01-28,82.8,81.73,83.39,81.71,7942208.0,14.69964
AXP,2015-01-29,82.07,82.0,82.33,81.16,7545880.0,14.748201
AXP,2015-01-30,82.12,80.69,82.2,80.56,7210532.0,14.51259
AXP,2015-02-02,80.96,82.13,82.25,80.85,5459286.0,14.771583
AXP,2015-02-03,82.58,83.73,83.77,82.54,5586211.0,15.059353
AXP,2015-02-04,83.5,83.61,84.47,83.33,6155698.0,15.03777
AXP,2015-02-05,84.25,84.73,84.9342,84.08,3966584.0,15.239209
AXP,2015-02-06,85.11,85.01,86.01,84.77,5139741.0,15.289568
AXP,2015-02-09,84.53,84.98,85.25,84.3,3101318.0,15.284173
