Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
A,2015-01-02,41.18,40.56,41.31,40.37,1530798.0,27.221477
A,2015-01-05,40.32,39.8,40.46,39.7,2042240.0,26.711409
A,2015-01-06,39.81,39.18,40.02,39.02,2084562.0,26.295302
A,2015-01-07,39.52,39.7,39.81,39.29,3359660.0,26.644295
A,2015-01-08,40.24,40.89,40.98,40.18,2116341.0,27.442953
A,2015-01-09,41.0,40.59,41.0,40.29,1644939.0,27.241611
A,2015-01-12,40.61,40.11,40.72,39.95,2771191.0,26.919463
A,2015-01-13,40.47,39.55,40.7,39.33,2013474.0,26.543624
A,2015-01-14,39.03,39.06,39.1,38.21,5134006.0,26.214765
A,2015-01-15,39.33,38.01,39.408,37.99,2630296.0,25.510067
A,2015-01-16,37.83,38.25,38.46,37.76,3003980.0,25.671141
A,2015-01-20,38.43,37.93,38.66,37.76,5033605.0,25.456376
A,2015-01-21,37.75,38.16,38.41,37.68,2721609.0,25.610738
A,2015-01-22,38.51,39.65,39.86,38.12,4856573.0,26.610738
A,2015-01-23,39.6,38.81,39.6,38.76,1519250.0,26.04698
A,2015-01-26,38.79,39.15,39.17,38.47,1511214.0,26.275168
A,2015-01-27,38.7,38.75,39.25,38.58,1703508.0,26.006711
A,2015-01-28,39.01,38.0,39.05,37.96,2033523.0,25.503356
A,2015-01-29,38.0,38.46,38.47,37.69,2329983.0,25.812081
A,2015-01-30,38.01,37.77,38.32,37.71,3054313.0,25.348993
A,2015-02-02,37.9,38.69,38.76,37.71,2508493.0,25.966443
A,2015-02-03,39.04,39.62,39.63,38.92,2950375.0,26.590604
A,2015-02-04,39.33,39.11,39.46,38.82,2567439.0,26.248322
A,2015-02-05,39.22,39.53,39.82,39.22,1826367.0,26.530201
A,2015-02-06,39.54,39.34,39.81,39.225,2697212.0,26.402685
A,2015-02-09,39.23,39.04,39.43,38.95,3586102.0,26.201342
A,2015-02-10,39.31,39.67,39.76,38.78,1408747.0,26.624161
A,2015-02-11,39.64,39.33,39.81,39.2326,3337005.0,26.395973
A,2015-02-12,39.58,40.02,40.06,39.53,1317705.0,26.85906
A,2015-02-13,39.97,40.15,40.31,39.91,2211931.0,26.946309
A,2015-02-17,40.01,40.52,40.53,39.76,2875788.0,36.114082
A,2015-02-18,41.12,41.54,42.2,40.91,9007218.0,37.023173
A,2015-02-19,41.4,41.15,41.57,41.04,3737331.0,36.675579
A,2015-02-20,41.09,41.95,42.11,40.88,2971880.0,37.388592
A,2015-02-23,41.89,41.73,41.96,41.49,1967913.0,37.192513
A,2015-02-24,41.62,42.06,42.105,41.6,1922102.0,37.486631
A,2015-02-25,42.34,42.2,42.49,42.09,2343479.0,37.611408
A,2015-02-26,42.23,42.36,42.38,42.0,1505418.0,37.754011
A,2015-02-27,42.3,42.21,42.36,42.045,1676351.0,37.620321
A,2015-03-02,42.34,42.7,42.74,42.34,1847082.0,38.057041
A,2015-03-03,42.45,42.26,42.57,42.14,1635437.0,37.664884
A,2015-03-04,41.95,42.0,42.16,41.73,1305992.0,37.433155
A,2015-03-05,41.99,42.22,42.24,41.84,1376468.0,37.629234
A,2015-03-06,41.95,41.53,42.05,41.49,1528564.0,37.01426
A,2015-03-09,41.54,41.74,41.89,41.435,1492378.0,37.201426
A,2015-03-10,41.22,40.63,41.27,40.63,1961299.0,36.212121
A,2015-03-11,40.79,40.85,41.125,40.67,2064355.0,36.4082
A,2015-03-12,40.99,41.1,41.24,40.97,2719895.0,36.631016
A,2015-03-13,40.96,40.87,41.4562,40.515,4704560.0,36.426025
A,2015-03-16,41.16,41.81,41.83,41.11,2551437.0,37.263815
A,2015-03-17,41.52,41.58,41.69,41.06,1504881.0,37.058824
A,2015-03-18,41.45,42.12,42.38,41.17,1295556.0,37.540107
A,2015-03-19,42.05,42.21,42.25,41.82,1085684.0,37.620321
A,2015-03-20,42.39,42.21,42.53,42.2,2315472.0,37.620321
A,2015-03-23,42.12,42.2,42.44,42.0,1835393.0,37.611408
A,2015-03-24,42.13,41.09,42.13,41.01,3625952.0,36.622103
A,2015-03-25,41.17,40.81,41.695,40.79,2776181.0,36.372549
A,2015-03-26,40.68,40.7,40.97,40.3703,1573740.0,36.27451
A,2015-03-27,40.6,41.11,41.18,40.58,1932749.0,36.639929
A,2015-03-30,41.52,41.72,41.86,41.32,2064181.0,37.183601
A,2015-03-31,41.28,41.55,41.78,41.102,1659179.0,37.032086
A,2015-04-01,41.46,41.39,41.52,40.72,2170331.0,36.889483
A,2015-04-02,41.47,42.05,42.13,41.33,2135918.0,37.477718
A,2015-04-06,41.68,41.93,42.2,41.51,2379808.0,37.370766
A,2015-04-07,41.94,42.44,42.52,41.87,3072418.0,37.825312
A,2015-04-08,42.43,42.26,42.59,42.025,2443178.0,37.664884
A,2015-04-09,42.16,42.49,42.59,42.07,1332519.0,37.869875
A,2015-04-10,42.8,43.55,43.56,42.57,3370597.0,38.814617
A,2015-04-13,43.59,43.04,43.59,42.99,3708641.0,38.360071
A,2015-04-14,42.96,43.07,43.2,42.58,1777705.0,38.386809
A,2015-04-15,43.28,43.38,43.56,43.18,1445622.0,38.663102
A,2015-04-16,43.14,43.13,43.36,43.06,1070232.0,38.440285
A,2015-04-17,42.74,42.98,43.05,42.6,2333369.0,38.306595
A,2015-04-20,43.33,43.19,43.44,43.15,1410574.0,38.493761
A,2015-04-21,43.42,42.89,43.5,42.87,1719710.0,38.226381
A,2015-04-22,42.72,42.71,42.84,42.37,2726140.0,38.065954
A,2015-04-23,42.42,42.62,42.86,42.24,3973179.0,37.98574
A,2015-04-24,42.71,42.49,42.81,42.42,2200155.0,37.869875
A,2015-04-27,42.74,41.98,42.77,41.965,2298298.0,37.41533
A,2015-04-28,41.87,42.18,42.31,41.57,1803453.0,37.593583
A,2015-04-29,42.04,41.96,42.2,41.44,2160963.0,37.397504
A,2015-04-30,41.83,41.37,41.94,41.11,1726312.0,36.871658
A,2015-05-01,41.41,41.83,41.93,41.24,1880177.0,37.28164
A,2015-05-04,41.88,41.94,42.08,41.7,1073820.0,37.379679
A,2015-05-05,41.72,41.59,41.85,41.455,1254801.0,37.067736
A,2015-05-06,41.86,41.59,41.86,41.36,934611.0,37.067736
A,2015-05-07,41.59,41.8,41.85,41.31,999682.0,37.254902
A,2015-05-08,42.23,42.5,42.53,42.21,1034717.0,37.878788
A,2015-05-11,42.39,42.62,42.83,42.39,975490.0,37.98574
A,2015-05-12,42.36,41.91,42.5,41.5,2617833.0,37.352941
A,2015-05-13,42.05,41.81,42.39,41.71,1992774.0,37.263815
A,2015-05-14,42.18,42.05,42.2251,41.87,2883667.0,37.477718
A,2015-05-15,42.14,42.04,42.26,41.99,2147413.0,37.468806
A,2015-05-18,42.05,42.63,42.7,41.98,1966147.0,44.685535
A,2015-05-19,41.57,42.37,42.83,41.5,5277345.0,44.412998
A,2015-05-20,42.5,42.61,42.8378,42.43,2652326.0,44.66457
A,2015-05-21,42.57,42.32,42.73,42.2,2126257.0,44.360587
A,2015-05-22,42.27,42.5,42.67,42.07,1484752.0,44.549266
A,2015-05-26,42.48,42.06,42.63,41.985,1919645.0,44.08805
A,2015-05-27,42.27,42.61,42.93,42.1,2507443.0,44.66457
A,2015-05-28,42.45,41.75,42.71,41.35,3347403.0,43.763103
A,2015-05-29,41.79,41.19,41.83,40.82,5022554.0,43.176101
A,2015-06-01,41.43,40.92,41.43,40.85,2440065.0,42.893082
A,2015-06-02,40.94,41.11,41.14,40.67,2947454.0,43.092243
A,2015-06-03,41.31,41.1,41.36,40.94,2722286.0,43.081761
A,2015-06-04,40.89,40.54,41.08,40.01,4091870.0,42.494759
A,2015-06-05,40.54,40.31,40.67,40.2,1760467.0,42.253669
A,2015-06-08,40.26,39.95,40.35,39.91,1353411.0,41.87631
A,2015-06-09,39.93,40.12,40.33,39.8303,1439015.0,42.054507
A,2015-06-10,40.4,40.52,40.59,40.27,1789330.0,42.473795
A,2015-06-11,40.57,40.53,40.6,40.29,1576987.0,42.484277
A,2015-06-12,40.33,39.84,40.49,39.735,2769551.0,41.761006
A,2015-06-15,39.63,39.52,39.63,39.25,2361878.0,41.425577
A,2015-06-16,39.59,39.79,39.81,39.38,1422563.0,41.708595
A,2015-06-17,39.76,39.6,39.8,39.32,1519421.0,41.509434
A,2015-06-18,39.8,39.9,40.055,39.72,1865267.0,41.823899
A,2015-06-19,39.8,39.49,39.94,39.49,2658779.0,41.39413
A,2015-06-22,39.81,39.81,40.01,39.73,3909250.0,41.72956
A,2015-06-23,39.89,39.6,39.95,39.42,2053553.0,41.509434
A,2015-06-24,39.47,40.19,40.45,39.025,6127695.0,42.127883
A,2015-06-25,39.8,40.05,40.52,39.38,5265822.0,41.981132
A,2015-06-26,40.0,40.02,40.17,39.775,3350458.0,41.949686
A,2015-06-29,39.6,38.74,39.8,38.74,2516360.0,40.607966
A,2015-06-30,39.08,38.58,39.19,38.48,3037436.0,40.440252
A,2015-07-01,38.89,39.26,39.295,38.75,4486572.0,41.15304
A,2015-07-02,39.36,39.58,39.64,39.15,2160799.0,41.48847
A,2015-07-06,39.11,39.36,39.66,39.08,2509428.0,41.257862
A,2015-07-07,39.53,39.79,39.79,39.1359,2927761.0,41.708595
A,2015-07-08,39.48,38.75,39.48,38.71,3390976.0,40.618449
A,2015-07-09,39.27,38.92,39.33,38.91,2237945.0,40.796646
A,2015-07-10,39.29,39.4,39.44,39.155,2107093.0,41.29979
A,2015-07-13,39.72,39.96,40.0,39.54,1579730.0,41.886792
A,2015-07-14,40.05,40.49,40.66,39.89,2801301.0,42.442348
A,2015-07-15,40.42,40.13,40.52,40.02,2247745.0,42.06499
A,2015-07-16,40.36,40.34,40.44,40.12,1826485.0,42.285115
A,2015-07-17,40.2,39.95,40.33,39.84,2412373.0,41.87631
A,2015-07-20,40.06,40.06,40.13,39.95,1155252.0,41.991614
A,2015-07-21,39.97,39.57,40.01,39.54,1160904.0,41.477987
A,2015-07-22,39.29,40.33,40.42,39.29,2949376.0,42.274633
A,2015-07-23,40.37,40.25,40.37,40.01,1708801.0,42.190776
A,2015-07-24,40.11,39.31,40.17,39.22,1844946.0,41.205451
A,2015-07-27,39.04,39.61,39.65,38.61,5261424.0,41.519916
A,2015-07-28,40.0,40.45,40.47,39.5,2768225.0,42.400419
A,2015-07-29,40.5,40.4,40.73,40.24,2014066.0,42.348008
A,2015-07-30,40.26,40.97,41.05,40.07,2440415.0,42.945493
A,2015-07-31,41.05,40.95,41.14,40.78,2247715.0,42.924528
A,2015-08-03,40.92,41.0,41.13,40.58,2104591.0,42.976939
A,2015-08-04,40.94,40.62,41.35,40.55,1448062.0,42.578616
A,2015-08-05,40.94,40.72,41.19,40.69,949479.0,42.683438
A,2015-08-06,40.95,40.12,40.96,39.91,1932226.0,42.054507
A,2015-08-07,40.14,39.99,40.2099,39.63,1513076.0,41.918239
A,2015-08-10,40.24,40.47,40.64,40.16,1554542.0,42.421384
A,2015-08-11,40.19,39.42,40.19,39.3,1575708.0,41.320755
A,2015-08-12,39.05,38.89,39.11,38.27,3440282.0,40.765199
A,2015-08-13,38.94,38.56,38.94,38.46,2848895.0,40.419287
A,2015-08-14,38.62,38.65,38.73,38.32,2632739.0,40.513627
A,2015-08-17,38.36,38.82,39.015,38.12,3302058.0,46.269368
A,2015-08-18,39.11,39.02,40.35,39.0,6416891.0,46.507747
A,2015-08-19,38.69,38.4,38.805,38.3,2730429.0,45.768772
A,2015-08-20,38.01,37.51,38.31,37.5,2145028.0,44.707986
A,2015-08-21,37.13,36.23,37.495,36.175,3828206.0,43.18236
A,2015-08-24,33.87,34.68,36.01,33.57,4114990.0,41.334923
A,2015-08-25,35.68,34.36,36.17,34.3,3802732.0,40.953516
A,2015-08-26,35.36,35.62,35.7,34.47,3233814.0,42.455304
A,2015-08-27,36.17,36.64,36.67,35.89,2406297.0,43.671037
A,2015-08-28,36.45,36.51,36.66,36.15,1783861.0,43.516091
A,2015-08-31,36.44,36.31,36.5525,35.95,2554666.0,43.277712
A,2015-09-01,35.3,34.75,35.58,34.57,2954093.0,41.418355
A,2015-09-02,35.33,35.53,35.53,34.88,2119191.0,42.348033
A,2015-09-03,35.61,35.75,36.12,35.525,2140822.0,42.61025
A,2015-09-04,35.04,35.06,35.51,34.9,2819027.0,41.787843
A,2015-09-08,35.82,36.21,36.25,35.51,1787408.0,43.158522
A,2015-09-09,36.5,35.54,36.8,35.44,1885293.0,42.359952
A,2015-09-10,35.61,35.86,36.04,35.44,1628726.0,42.741359
A,2015-09-11,35.66,35.96,35.96,35.44,1443721.0,42.860548
A,2015-09-14,35.92,35.55,36.09,35.32,2223319.0,42.371871
A,2015-09-15,35.75,36.15,36.295,35.51,1752721.0,43.087008
A,2015-09-16,36.15,36.52,36.865,36.06,2130117.0,43.52801
A,2015-09-17,36.63,36.4,36.99,36.29,1819067.0,43.384982
A,2015-09-18,35.86,35.74,36.22,35.585,3352296.0,42.598331
A,2015-09-21,35.96,35.69,36.07,35.41,2640363.0,42.538737
A,2015-09-22,35.19,35.05,35.33,34.94,2283337.0,41.775924
A,2015-09-23,35.1,34.95,35.24,34.81,1962552.0,41.656734
A,2015-09-24,34.56,34.55,34.64,34.15,2028940.0,41.179976
A,2015-09-25,34.7,34.45,35.02,34.1,2730672.0,41.060787
A,2015-09-28,34.13,33.37,34.27,33.32,2615440.0,39.77354
A,2015-09-29,33.36,33.74,34.06,33.245,2252364.0,40.214541
A,2015-09-30,34.08,34.33,34.43,33.67,2545749.0,40.917759
A,2015-10-01,34.32,33.74,34.48,33.48,3011460.0,40.214541
A,2015-10-02,33.18,34.67,34.68,33.115,3519448.0,41.323004
A,2015-10-05,35.04,35.34,35.39,34.84,1675429.0,42.121573
A,2015-10-06,35.13,34.9,35.21,34.53,1833679.0,41.597139
A,2015-10-07,35.2,35.54,35.78,35.1,3089575.0,42.359952
A,2015-10-08,35.39,36.01,36.07,35.34,2598314.0,42.920143
A,2015-10-09,35.94,36.23,36.34,35.88,3232938.0,43.18236
A,2015-10-12,36.08,35.99,36.1786,35.86,1349866.0,42.896305
A,2015-10-13,35.76,35.63,36.24,35.53,2383212.0,42.467223
A,2015-10-14,35.64,35.05,35.77,34.97,1647407.0,41.775924
A,2015-10-15,35.12,35.58,35.68,34.79,1432995.0,42.407628
A,2015-10-16,35.69,35.78,36.02,35.37,1754319.0,42.646007
A,2015-10-19,35.69,36.23,36.23,35.59,3685845.0,43.18236
A,2015-10-20,36.11,36.32,36.52,36.03,2635777.0,43.289631
A,2015-10-21,36.54,35.9,36.6,35.8,2886412.0,42.789035
A,2015-10-22,36.03,36.09,36.95,36.0,3696278.0,43.015495
A,2015-10-23,36.5,37.11,37.27,36.18,2732645.0,44.231228
