Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
BR,2015-01-02,46.25,45.6,46.25,45.16,637716.0,22.585438
BR,2015-01-05,45.26,44.92,45.54,44.64,551017.0,22.248638
BR,2015-01-06,45.12,45.26,45.55,44.65,1188320.0,22.417038
BR,2015-01-07,45.48,46.0,46.09,45.18,715871.0,22.783556
BR,2015-01-08,46.15,46.69,46.97,45.97,1048512.0,23.12531
BR,2015-01-09,46.7,46.71,46.895,46.49,555328.0,23.135215
BR,2015-01-12,46.64,46.68,47.04,46.42,722702.0,23.120357
BR,2015-01-13,47.0,46.78,47.71,46.34,580704.0,23.169886
BR,2015-01-14,46.28,46.39,46.7,46.01,424471.0,22.976721
BR,2015-01-15,46.53,45.94,46.6941,45.84,612551.0,22.753839
BR,2015-01-16,45.91,46.76,46.79,45.82,309275.0,23.15998
BR,2015-01-20,46.84,46.5,46.99,46.0464,371326.0,23.031204
BR,2015-01-21,46.48,46.55,46.8,46.03,478327.0,23.055968
BR,2015-01-22,46.93,47.47,47.49,46.402,645285.0,23.511639
BR,2015-01-23,47.46,47.64,47.75,47.2,484536.0,23.59584
BR,2015-01-26,47.56,48.51,48.55,47.43,743732.0,24.026746
BR,2015-01-27,48.19,48.17,48.39,47.96,591350.0,23.858346
BR,2015-01-28,48.61,47.8,48.698,47.7,783305.0,23.675087
BR,2015-01-29,48.59,48.42,48.99,47.87,754418.0,23.982169
BR,2015-01-30,48.27,47.99,48.47,47.89,754916.0,23.769193
BR,2015-02-02,48.15,48.47,48.52,47.208,606254.0,24.006934
BR,2015-02-03,48.79,49.33,49.39,48.69,900047.0,24.432888
BR,2015-02-04,49.19,49.4,49.7223,49.14,933689.0,24.467558
BR,2015-02-05,50.31,50.92,50.97,49.47,825706.0,24.504331
BR,2015-02-06,50.45,51.39,51.39,50.25,1163918.0,24.73051
BR,2015-02-09,51.07,50.95,51.28,50.707,1453778.0,24.518768
BR,2015-02-10,51.16,51.81,52.02,50.91,1046414.0,24.932628
BR,2015-02-11,51.83,51.78,51.98,51.515,871557.0,24.918191
BR,2015-02-12,52.06,52.88,52.94,52.06,730193.0,25.447546
BR,2015-02-13,52.83,52.59,52.99,52.07,1157012.0,25.307988
BR,2015-02-17,52.6,52.53,53.08,52.491,962056.0,25.279115
BR,2015-02-18,52.54,52.97,53.01,52.45,1064274.0,25.490857
BR,2015-02-19,52.97,52.9,53.05,52.79,597111.0,25.45717
BR,2015-02-20,52.82,53.81,53.86,52.69,734680.0,25.895091
BR,2015-02-23,53.75,53.54,53.84,53.28,555116.0,25.765159
BR,2015-02-24,53.49,53.6,53.83,53.4,543434.0,25.794033
BR,2015-02-25,53.47,53.76,53.97,53.47,510634.0,25.87103
BR,2015-02-26,53.76,53.13,53.95,53.11,1016470.0,25.567854
BR,2015-02-27,53.15,53.23,53.545,53.02,867893.0,25.615977
BR,2015-03-02,53.18,54.63,54.64,53.18,730793.0,26.289702
BR,2015-03-03,54.52,54.03,54.52,53.85,690008.0,26.000962
BR,2015-03-04,54.0,53.39,54.0,53.34,320713.0,25.692974
BR,2015-03-05,53.56,53.44,53.63,53.24,525365.0,25.717036
BR,2015-03-06,53.29,52.96,53.43,52.67,490129.0,25.486044
BR,2015-03-09,52.76,53.07,53.22,52.705,375606.0,25.53898
BR,2015-03-10,52.73,51.9,52.73,51.89,390503.0,24.975938
BR,2015-03-11,51.09,51.52,51.84,50.91,958035.0,24.79307
BR,2015-03-12,51.94,52.64,52.72,51.73,459597.0,25.33205
BR,2015-03-13,52.51,51.86,52.545,51.76,663321.0,24.956689
BR,2015-03-16,52.17,52.88,52.9,52.05,560338.0,25.447546
BR,2015-03-17,52.82,53.13,53.22,52.67,505210.0,25.567854
BR,2015-03-18,53.1,54.02,54.25,52.86,569328.0,25.99615
BR,2015-03-19,53.92,53.96,54.23,53.76,405947.0,25.967276
BR,2015-03-20,54.31,53.94,54.31,53.89,1105974.0,25.957652
BR,2015-03-23,54.08,53.76,54.08,53.75,307274.0,25.87103
BR,2015-03-24,53.61,53.34,53.71,53.31,391807.0,25.668912
BR,2015-03-25,53.45,52.53,53.51,52.53,427063.0,25.279115
BR,2015-03-26,52.34,52.75,52.86,52.04,413129.0,25.384986
BR,2015-03-27,52.79,53.51,53.52,52.79,462249.0,25.750722
BR,2015-03-30,53.81,54.52,54.55,53.76,504405.0,26.236766
BR,2015-03-31,54.49,55.01,55.12,54.42,923718.0,26.47257
BR,2015-04-01,54.83,54.9,55.0,54.04,462953.0,26.419634
BR,2015-04-02,54.7,55.43,55.78,54.7,708229.0,26.674687
BR,2015-04-06,54.87,55.53,55.59,54.82,871692.0,26.72281
BR,2015-04-07,55.25,54.47,55.46,54.45,663052.0,26.212705
BR,2015-04-08,54.3,54.57,54.87,54.3,553618.0,26.260828
BR,2015-04-09,54.31,54.25,54.73,53.95,498150.0,26.106833
BR,2015-04-10,54.27,54.15,54.5,53.97,398880.0,26.05871
BR,2015-04-13,54.06,54.01,54.42,54.0,297192.0,25.991338
BR,2015-04-14,53.9,53.92,54.16,53.735,445028.0,25.948027
BR,2015-04-15,54.19,53.89,54.59,53.87,425124.0,25.93359
BR,2015-04-16,53.74,53.78,53.86,53.52,331756.0,25.880654
BR,2015-04-17,53.43,52.59,53.43,52.4,529785.0,25.307988
BR,2015-04-20,52.91,53.15,53.31,52.735,430272.0,25.577478
BR,2015-04-21,53.48,53.59,53.79,53.18,394352.0,25.78922
BR,2015-04-22,53.74,53.55,53.74,53.3501,280128.0,25.769971
BR,2015-04-23,53.34,53.87,54.02,53.34,435213.0,25.923965
BR,2015-04-24,54.32,54.58,54.75,54.11,471439.0,26.26564
BR,2015-04-27,54.57,53.77,54.59,53.71,423012.0,25.875842
BR,2015-04-28,53.66,54.2,54.39,53.52,725535.0,26.082772
BR,2015-04-29,54.08,54.39,54.7,54.02,553831.0,26.174206
BR,2015-04-30,54.15,53.92,54.56,53.73,609838.0,25.948027
BR,2015-05-01,54.16,54.34,54.62,54.06,589134.0,26.150144
BR,2015-05-04,54.34,54.29,54.69,54.25,388306.0,26.126083
BR,2015-05-05,54.14,53.83,54.38,53.64,321695.0,25.904716
BR,2015-05-06,54.05,53.78,54.32,53.53,488372.0,25.880654
BR,2015-05-07,53.65,54.1,54.38,53.4801,477658.0,26.034649
BR,2015-05-08,53.5,51.03,53.79,50.55,2021713.0,24.323165
BR,2015-05-11,50.98,51.23,51.845,50.81,1682408.0,24.418494
BR,2015-05-12,51.09,51.43,51.7,50.68,670512.0,24.513823
BR,2015-05-13,51.58,51.53,51.88,51.3,666504.0,24.561487
BR,2015-05-14,51.75,51.71,51.92,51.46,869259.0,24.647283
BR,2015-05-15,51.8,52.75,52.78,51.8,794883.0,25.142993
BR,2015-05-18,52.64,53.78,53.914,52.59,744331.0,25.633937
BR,2015-05-19,53.88,54.17,54.25,53.7,703187.0,25.819828
BR,2015-05-20,54.25,54.54,54.68,54.04,700324.0,25.996187
BR,2015-05-21,54.49,54.17,54.74,54.09,598184.0,25.819828
