Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
CAG,2015-01-02,36.22,35.82,36.29,35.81,3993636.0,38.269231
CAG,2015-01-05,35.71,35.43,36.01,35.42,4202717.0,37.852564
CAG,2015-01-06,35.57,35.08,35.65,34.91,4071498.0,37.478632
CAG,2015-01-07,35.26,35.91,35.95,35.25,2431289.0,38.365385
CAG,2015-01-08,36.1,36.69,36.7,36.05,3238544.0,39.198718
CAG,2015-01-09,36.69,36.24,36.74,36.12,2219067.0,38.717949
CAG,2015-01-12,35.91,35.68,36.2,35.61,2051370.0,38.119658
CAG,2015-01-13,35.87,35.82,36.18,35.54,2388162.0,38.269231
CAG,2015-01-14,35.58,35.51,35.67,35.24,2490540.0,37.938034
CAG,2015-01-15,35.6,36.34,36.65,35.555,6039111.0,38.824786
CAG,2015-01-16,36.28,36.23,36.56,36.03,3021128.0,38.707265
CAG,2015-01-20,36.28,36.27,36.41,35.9,2426352.0,38.75
CAG,2015-01-21,36.21,36.24,36.44,35.97,2594625.0,38.717949
CAG,2015-01-22,36.37,37.17,37.18,36.22,2878739.0,39.711538
CAG,2015-01-23,36.98,36.76,37.04,36.72,1941291.0,39.273504
CAG,2015-01-26,36.72,36.94,36.96,36.54,2496273.0,39.465812
CAG,2015-01-27,36.57,36.66,36.77,36.43,1959285.0,39.166667
CAG,2015-01-28,36.56,36.53,36.855,36.39,4098987.0,39.027778
CAG,2015-01-29,36.42,36.47,36.5597,36.09,3033579.0,38.963675
CAG,2015-01-30,36.19,35.43,36.31,35.37,3135141.0,37.852564
CAG,2015-02-02,35.42,35.75,35.78,34.965,2617839.0,38.194444
CAG,2015-02-03,35.85,35.98,36.14,35.66,2017237.0,38.440171
CAG,2015-02-04,35.98,36.26,36.51,35.93,2381215.0,38.739316
CAG,2015-02-05,36.26,36.45,36.47,36.0301,1774401.0,38.942308
CAG,2015-02-06,36.4,36.44,36.71,36.123,1546837.0,38.931624
CAG,2015-02-09,36.24,36.16,36.5,36.09,1449929.0,38.632479
CAG,2015-02-10,36.25,36.43,36.48,36.01,2042439.0,38.92094
CAG,2015-02-11,36.48,36.17,36.68,35.87,1980923.0,38.643162
CAG,2015-02-12,36.01,36.42,36.42,35.96,1741570.0,38.910256
CAG,2015-02-13,35.36,34.83,35.4,34.56,6902799.0,37.211538
CAG,2015-02-17,34.62,33.76,34.62,33.64,7358726.0,36.068376
CAG,2015-02-18,33.65,33.57,33.89,33.45,6944595.0,35.865385
CAG,2015-02-19,33.67,34.47,34.61,33.62,4992537.0,36.826923
CAG,2015-02-20,34.44,34.52,34.59,34.08,2769299.0,36.880342
CAG,2015-02-23,34.56,34.53,34.67,34.38,1859664.0,36.891026
CAG,2015-02-24,34.4,34.71,34.79,34.29,2830999.0,37.083333
CAG,2015-02-25,34.74,34.74,34.86,34.54,2088558.0,37.115385
CAG,2015-02-26,34.79,34.67,34.89,34.64,1610960.0,37.040598
CAG,2015-02-27,34.69,34.98,35.07,34.66,2841434.0,37.371795
CAG,2015-03-02,34.82,35.1,35.125,34.74,1633643.0,37.5
CAG,2015-03-03,35.02,34.96,35.09,34.67,2071951.0,37.350427
CAG,2015-03-04,34.83,34.52,35.58,34.31,4231299.0,36.880342
CAG,2015-03-05,34.65,34.86,34.92,34.36,1927744.0,37.24359
CAG,2015-03-06,34.62,34.26,34.62,34.07,2578164.0,36.602564
CAG,2015-03-09,34.33,34.34,34.45,34.16,1167221.0,36.688034
CAG,2015-03-10,34.27,33.91,34.34,33.91,1754803.0,36.228632
CAG,2015-03-11,33.86,33.58,33.9039,33.45,1785729.0,35.876068
CAG,2015-03-12,33.68,34.17,34.21,33.65,1649514.0,36.50641
CAG,2015-03-13,34.06,33.94,34.11,33.65,1768587.0,36.260684
CAG,2015-03-16,34.07,34.43,34.44,34.01,1741691.0,36.784188
CAG,2015-03-17,34.3,34.49,34.6,34.17,1705347.0,36.848291
CAG,2015-03-18,34.4,34.55,34.69,33.86,2922106.0,36.912393
CAG,2015-03-19,34.51,34.36,34.59,34.3,1497149.0,36.709402
CAG,2015-03-20,34.52,34.96,35.22,34.47,3134799.0,37.350427
CAG,2015-03-23,34.92,35.05,35.33,34.88,1487001.0,37.446581
CAG,2015-03-24,35.12,34.63,35.18,34.61,1504662.0,36.997863
CAG,2015-03-25,34.92,34.94,35.27,34.77,4437508.0,37.32906
CAG,2015-03-26,35.53,34.75,35.55,33.92,5306461.0,
CAG,2015-03-27,34.85,36.76,36.865,34.76,6659174.0,
CAG,2015-03-30,36.74,36.9,36.98,36.31,4046914.0,
CAG,2015-03-31,36.85,36.53,37.12,36.51,3964808.0,
CAG,2015-04-01,36.51,36.86,36.93,35.94,4478842.0,
CAG,2015-04-02,36.99,37.82,37.92,36.788,5023418.0,
CAG,2015-04-06,37.62,38.04,38.41,37.53,4106300.0,
CAG,2015-04-07,38.06,37.96,38.26,37.87,3582132.0,
CAG,2015-04-08,37.8,37.92,38.08,37.73,2233357.0,
CAG,2015-04-09,37.92,37.89,38.07,37.59,3692369.0,
CAG,2015-04-10,37.94,37.85,38.08,37.78,2040934.0,
CAG,2015-04-13,37.73,37.6,37.97,37.57,1659940.0,
CAG,2015-04-14,37.65,37.79,37.99,37.5409,1846128.0,
CAG,2015-04-15,37.82,37.57,37.995,37.48,1945063.0,
CAG,2015-04-16,37.65,37.38,37.66,37.36,1828942.0,
CAG,2015-04-17,37.23,37.3,37.35,36.96,2233237.0,
CAG,2015-04-20,37.38,37.65,37.94,37.3,2347122.0,
CAG,2015-04-21,37.65,37.61,37.89,37.5,2204323.0,
CAG,2015-04-22,37.58,37.52,37.73,37.27,2394402.0,
CAG,2015-04-23,37.4,37.51,37.81,37.4,1654944.0,
CAG,2015-04-24,37.55,37.52,37.755,37.38,1703898.0,
CAG,2015-04-27,37.51,37.35,37.6595,37.2,1708054.0,
CAG,2015-04-28,36.85,36.99,37.0956,36.73,1547671.0,
CAG,2015-04-29,36.94,36.41,36.98,36.32,2122095.0,
CAG,2015-04-30,36.36,36.15,36.37,35.98,2386510.0,
CAG,2015-05-01,36.1,36.56,36.58,36.08,1746335.0,
CAG,2015-05-04,36.58,37.12,37.24,36.46,2214138.0,
CAG,2015-05-05,37.15,37.01,37.18,36.8447,3597568.0,
CAG,2015-05-06,37.17,37.2,37.22,36.68,3381446.0,
CAG,2015-05-07,37.03,37.36,37.56,36.96,2280521.0,
CAG,2015-05-08,37.58,37.51,37.9601,37.48,1850368.0,
CAG,2015-05-11,37.4,37.37,37.6,37.27,1818066.0,
CAG,2015-05-12,37.25,37.68,37.74,37.12,1824099.0,
CAG,2015-05-13,37.71,37.46,37.92,37.38,1398447.0,
CAG,2015-05-14,37.69,37.93,37.94,37.59,1703717.0,
CAG,2015-05-15,37.98,38.49,38.52,37.97,2703980.0,
CAG,2015-05-18,38.36,38.52,38.77,38.21,2912996.0,
CAG,2015-05-19,38.66,38.53,38.66,38.38,2438111.0,
CAG,2015-05-20,38.52,38.9,38.935,38.34,3106339.0,
CAG,2015-05-21,38.78,38.88,38.98,38.71,3065493.0,
CAG,2015-05-22,38.77,38.85,38.98,38.65,2256328.0,
CAG,2015-05-26,38.85,38.44,39.04,38.39,2564800.0,
CAG,2015-05-27,38.59,38.7,38.74,38.4,1362373.0,
CAG,2015-05-28,38.57,38.7,38.76,38.5,1961867.0,
CAG,2015-05-29,38.61,38.61,38.79,38.41,2548710.0,
CAG,2015-06-01,38.85,38.87,38.88,38.54,2206248.0,
CAG,2015-06-02,38.82,38.16,38.89,37.72,3949576.0,
CAG,2015-06-03,38.36,38.33,38.65,38.07,3003841.0,
CAG,2015-06-04,38.14,37.91,38.24,37.835,1688498.0,
CAG,2015-06-05,37.88,37.42,37.9,37.41,4287333.0,
CAG,2015-06-08,37.41,37.69,37.845,37.25,2303764.0,
CAG,2015-06-09,37.7,37.96,38.17,37.63,3352091.0,
CAG,2015-06-10,38.015,38.03,38.25,37.83,6381515.0,
CAG,2015-06-11,38.04,38.2,38.62,37.98,2618074.0,
CAG,2015-06-12,37.94,38.11,38.17,37.84,2479800.0,
CAG,2015-06-15,37.92,38.04,38.17,37.77,3407147.0,
CAG,2015-06-16,38.13,38.62,38.81,37.83,5139545.0,
CAG,2015-06-17,38.66,38.8,38.92,38.45,3021938.0,
CAG,2015-06-18,38.9,39.12,39.37,38.85,4111627.0,
CAG,2015-06-19,41.48,43.37,43.615,41.43,20338810.0,
CAG,2015-06-22,43.83,43.06,43.84,42.935,6907359.0,
CAG,2015-06-23,42.94,43.39,43.495,42.94,4482727.0,
CAG,2015-06-24,43.25,43.86,44.155,43.22,5448456.0,
CAG,2015-06-25,43.99,43.85,44.07,43.85,3239421.0,
CAG,2015-06-26,43.93,44.0,44.04,43.72,5184011.0,
CAG,2015-06-29,43.45,43.43,43.9,43.33,4302279.0,
CAG,2015-06-30,43.1,43.72,44.31,42.5101,7301595.0,
CAG,2015-07-01,43.9,44.6,44.64,43.5,5492534.0,
CAG,2015-07-02,44.78,44.56,45.02,44.405,4186070.0,
CAG,2015-07-06,44.3,44.62,44.95,44.11,9236040.0,
CAG,2015-07-07,44.76,45.49,45.49,44.45,5110056.0,
CAG,2015-07-08,45.21,44.65,45.35,44.59,4524594.0,
CAG,2015-07-09,45.03,44.52,45.32,44.48,3132312.0,
CAG,2015-07-10,44.78,44.83,45.105,44.62,2820850.0,
CAG,2015-07-13,45.0,44.72,45.18,44.66,2812165.0,
CAG,2015-07-14,44.49,44.72,44.79,44.35,5150848.0,
CAG,2015-07-15,44.59,44.43,44.76,44.33,3476592.0,
CAG,2015-07-16,44.66,44.62,44.93,44.43,2365156.0,
CAG,2015-07-17,44.58,44.44,44.63,44.27,2372463.0,
CAG,2015-07-20,44.5,44.29,44.5,44.19,2744994.0,
CAG,2015-07-21,44.23,44.02,44.41,43.94,3010910.0,
CAG,2015-07-22,44.05,44.16,44.41,43.75,5801260.0,
CAG,2015-07-23,44.01,44.0,44.37,43.92,1711069.0,
CAG,2015-07-24,44.0,43.67,44.12,43.55,1497812.0,
CAG,2015-07-27,43.52,43.53,43.65,43.33,2219748.0,
CAG,2015-07-28,43.49,43.94,43.99,43.29,2344650.0,
CAG,2015-07-29,43.86,44.13,44.26,43.86,1705130.0,
CAG,2015-07-30,43.8,44.44,44.51,43.76,2106281.0,
CAG,2015-07-31,44.44,44.06,44.5,43.96,2175295.0,
CAG,2015-08-03,44.01,44.07,44.185,43.735,2015355.0,
CAG,2015-08-04,43.99,44.17,44.42,43.96,2162941.0,
CAG,2015-08-05,44.26,44.75,45.0,44.2,2785152.0,
CAG,2015-08-06,44.98,44.97,45.03,44.49,2938285.0,
CAG,2015-08-07,44.83,45.15,45.15,44.48,2677368.0,
CAG,2015-08-10,45.35,44.99,45.48,44.895,2946322.0,
CAG,2015-08-11,44.74,44.97,45.035,44.6,2575545.0,
CAG,2015-08-12,44.7,44.69,44.746,44.09,2618232.0,
CAG,2015-08-13,44.72,44.44,44.85,44.335,2045771.0,
CAG,2015-08-14,44.6,45.25,45.35,44.3,2616829.0,
CAG,2015-08-17,45.05,45.13,45.25,44.8101,1120215.0,
CAG,2015-08-18,45.11,44.84,45.25,44.74,1436118.0,
CAG,2015-08-19,44.65,44.53,44.85,44.335,1464521.0,
CAG,2015-08-20,44.14,43.95,44.45,43.85,1534135.0,
CAG,2015-08-21,43.74,42.99,43.83,42.98,3506839.0,
CAG,2015-08-24,41.3,41.49,42.11,39.86,5781963.0,
CAG,2015-08-25,42.26,40.34,42.26,40.32,4568131.0,
CAG,2015-08-26,41.15,41.79,41.9,40.61,3635740.0,
CAG,2015-08-27,42.03,41.9,42.19,41.22,3446430.0,
CAG,2015-08-28,41.72,41.73,42.115,41.425,3720875.0,
CAG,2015-08-31,41.7,41.68,41.99,41.44,3094419.0,
CAG,2015-09-01,40.98,40.87,41.38,40.6,4030792.0,
CAG,2015-09-02,41.3,41.1,41.33,40.775,4050882.0,
CAG,2015-09-03,41.16,41.72,42.07,41.16,6059585.0,
CAG,2015-09-04,41.35,41.23,41.46,41.02,2654086.0,
CAG,2015-09-08,41.89,41.74,41.95,41.2325,3305159.0,
CAG,2015-09-09,42.05,41.13,42.17,41.02,2278211.0,
CAG,2015-09-10,41.18,41.15,41.575,40.99,2422544.0,
CAG,2015-09-11,41.05,41.67,41.685,40.91,2080308.0,
CAG,2015-09-14,41.62,41.34,41.66,41.24,2141718.0,
CAG,2015-09-15,41.5,41.86,41.91,41.29,2753823.0,
CAG,2015-09-16,41.95,42.48,42.59,41.76,2292688.0,
CAG,2015-09-17,42.55,42.75,43.26,42.35,1986390.0,
CAG,2015-09-18,42.42,42.22,42.885,42.13,4659035.0,
CAG,2015-09-21,42.56,42.4,42.69,41.975,3925348.0,
CAG,2015-09-22,41.76,39.4,41.76,39.04,13023320.0,
CAG,2015-09-23,39.56,39.5,39.82,39.221,7850487.0,
CAG,2015-09-24,39.21,41.07,41.22,39.21,10792470.0,
CAG,2015-09-25,41.37,41.53,42.36,40.91,5278994.0,
CAG,2015-09-28,41.25,40.42,41.41,40.3,3903955.0,
CAG,2015-09-29,40.52,40.06,40.53,39.63,4653942.0,
CAG,2015-09-30,40.49,40.51,40.7525,40.2,3418124.0,
CAG,2015-10-01,40.48,40.91,41.12,40.26,4217337.0,
CAG,2015-10-02,40.58,41.83,41.87,40.32,3493325.0,
CAG,2015-10-05,41.99,42.36,42.53,41.89,7464581.0,
CAG,2015-10-06,42.32,41.91,42.5,41.55,3387761.0,
CAG,2015-10-07,41.92,40.94,42.05,40.65,4332696.0,
CAG,2015-10-08,40.93,41.77,41.81,40.63,2879274.0,
CAG,2015-10-09,41.78,41.76,42.27,41.66,2666618.0,
CAG,2015-10-12,41.78,42.04,42.06,41.45,1663836.0,
CAG,2015-10-13,41.87,41.51,42.165,41.49,2457192.0,
CAG,2015-10-14,41.56,40.72,41.74,40.63,1890337.0,
