Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
CBRE,2015-01-02,34.51,34.67,34.73,34.27,1406667.0,29.381356
CBRE,2015-01-05,34.31,33.92,34.46,33.855,1349336.0,28.745763
CBRE,2015-01-06,34.04,33.66,34.16,33.385,1516066.0,28.525424
CBRE,2015-01-07,33.89,34.01,34.07,33.66,1250670.0,28.822034
CBRE,2015-01-08,34.24,34.75,34.75,34.04,1810019.0,29.449153
CBRE,2015-01-09,34.86,34.65,34.87,34.5,971051.0,29.364407
CBRE,2015-01-12,34.79,34.5,34.8,34.29,970537.0,29.237288
CBRE,2015-01-13,34.71,34.09,34.83,33.83,1224471.0,28.889831
CBRE,2015-01-14,33.7,33.76,34.01,33.345,1866021.0,28.610169
CBRE,2015-01-15,33.87,33.24,34.04,33.2,1497681.0,28.169492
CBRE,2015-01-16,33.13,33.09,33.38,32.78,3984204.0,28.042373
CBRE,2015-01-20,33.15,32.95,33.3,32.81,2048186.0,27.923729
CBRE,2015-01-21,32.87,32.64,33.0,32.55,3391844.0,27.661017
CBRE,2015-01-22,32.95,33.11,33.19,32.56,6393320.0,28.059322
CBRE,2015-01-23,33.11,32.95,33.38,32.94,2488518.0,27.923729
CBRE,2015-01-26,32.93,33.27,33.52,32.695,2046699.0,28.194915
CBRE,2015-01-27,32.99,33.23,33.44,32.98,2331794.0,28.161017
CBRE,2015-01-28,33.49,32.72,33.57,32.7,2103405.0,27.728814
CBRE,2015-01-29,32.74,32.99,33.04,32.6001,2218656.0,27.957627
CBRE,2015-01-30,32.77,32.34,32.86,32.29,1856307.0,27.40678
CBRE,2015-02-02,32.49,32.57,32.61,31.75,2999377.0,27.601695
CBRE,2015-02-03,32.83,33.68,33.705,32.76,4079879.0,28.542373
CBRE,2015-02-04,33.52,33.74,33.85,33.26,2640733.0,23.268966
CBRE,2015-02-05,33.96,34.78,34.92,33.96,2855641.0,23.986207
CBRE,2015-02-06,34.89,33.92,34.89,33.78,2299575.0,23.393103
CBRE,2015-02-09,33.7,34.03,34.08,33.68,1836833.0,23.468966
CBRE,2015-02-10,34.3,34.6,34.65,34.01,1426106.0,23.862069
CBRE,2015-02-11,34.61,34.72,34.81,34.25,1607799.0,23.944828
