Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
CCI,2015-01-02,78.86,79.51,79.93,78.72,2135754.0,151.159696
CCI,2015-01-05,79.09,79.0,79.32,78.75,2962859.0,150.190114
CCI,2015-01-06,79.26,78.85,79.92,78.57,4014364.0,149.904943
CCI,2015-01-07,79.35,80.5,80.67,79.07,4292615.0,153.041825
CCI,2015-01-08,80.92,81.77,82.3225,80.7,5096563.0,155.456274
CCI,2015-01-09,81.95,81.62,82.12,81.45,1933818.0,155.171103
CCI,2015-01-12,81.92,81.52,82.11,81.3,2512460.0,154.980989
CCI,2015-01-13,82.1,81.33,82.22,79.99,4030682.0,154.619772
CCI,2015-01-14,80.94,81.65,81.8,80.48,4040079.0,155.228137
CCI,2015-01-15,81.86,81.63,82.21,81.55,2610493.0,155.190114
CCI,2015-01-16,81.72,82.63,82.75,81.68,4539157.0,157.091255
CCI,2015-01-20,82.88,82.01,83.07,81.7,3330770.0,155.912548
CCI,2015-01-21,81.65,81.36,81.85,81.155,3801681.0,78.230769
CCI,2015-01-22,83.76,85.25,85.46,83.35,6469175.0,81.971154
CCI,2015-01-23,85.46,86.83,87.81,85.46,5424039.0,83.490385
CCI,2015-01-26,86.94,88.05,88.22,86.28,4765248.0,84.663462
CCI,2015-01-27,87.59,87.8,88.35,87.3,2777056.0,84.423077
CCI,2015-01-28,88.45,87.16,88.79,87.13,3545242.0,83.807692
CCI,2015-01-29,87.15,86.76,87.18,85.65,3046629.0,83.423077
CCI,2015-01-30,86.58,86.51,87.57,86.166,3608490.0,83.182692
CCI,2015-02-02,86.59,86.36,86.71,85.02,4002986.0,83.038462
CCI,2015-02-03,86.29,87.24,87.84,85.65,3468635.0,83.884615
CCI,2015-02-04,86.78,86.27,87.5,85.92,3071917.0,82.951923
CCI,2015-02-05,86.53,86.73,87.18,86.21,4424217.0,83.394231
CCI,2015-02-06,87.22,86.66,88.86,86.21,6463123.0,83.326923
CCI,2015-02-09,86.24,86.19,86.95,85.73,3888638.0,82.875
CCI,2015-02-10,86.58,87.17,87.35,86.32,5152527.0,83.817308
CCI,2015-02-11,87.32,87.18,87.45,86.26,2239980.0,83.826923
CCI,2015-02-12,87.3,87.59,87.735,86.82,1873103.0,84.221154
CCI,2015-02-13,87.59,88.0,88.01,87.03,2788994.0,84.615385
CCI,2015-02-17,88.45,87.6,89.435,87.5668,4077370.0,84.230769
CCI,2015-02-18,87.88,88.2,88.235,87.4,4116304.0,84.807692
CCI,2015-02-19,87.99,87.79,88.3,87.57,2801056.0,84.413462
CCI,2015-02-20,87.72,88.71,89.01,87.66,3217621.0,85.298077
CCI,2015-02-23,88.92,87.9,89.04,87.27,3377284.0,84.519231
CCI,2015-02-24,87.71,86.81,87.91,85.79,3752802.0,83.471154
CCI,2015-02-25,86.81,86.58,87.95,86.44,3061341.0,83.25
CCI,2015-02-26,86.54,86.09,86.54,85.22,2773138.0,82.778846
CCI,2015-02-27,86.32,86.31,86.46,85.71,2590734.0,82.990385
CCI,2015-03-02,86.6,86.39,87.51,86.15,3098180.0,83.067308
CCI,2015-03-03,86.15,86.3,86.56,85.99,2192703.0,82.980769
CCI,2015-03-04,86.2,85.82,86.26,85.58,1896935.0,82.519231
CCI,2015-03-05,86.23,86.26,86.46,85.91,1181683.0,82.942308
CCI,2015-03-06,85.7,85.04,85.9,84.91,2772398.0,81.769231
CCI,2015-03-09,85.27,85.5,85.7,84.86,1412606.0,82.211538
CCI,2015-03-10,85.21,84.57,85.42,84.56,1689382.0,81.317308
CCI,2015-03-11,84.47,84.92,85.27,84.21,1688948.0,81.653846
CCI,2015-03-12,85.38,85.95,86.0,84.97,1225799.0,82.644231
CCI,2015-03-13,85.66,84.91,85.66,84.38,1410583.0,81.644231
CCI,2015-03-16,85.17,85.8,85.96,84.92,1448620.0,82.5
CCI,2015-03-17,85.41,85.52,85.77,85.13,1462296.0,82.230769
CCI,2015-03-18,84.8,86.44,86.99,84.47,3416232.0,83.115385
CCI,2015-03-19,85.85,85.85,86.39,85.48,2232764.0,82.548077
CCI,2015-03-20,86.29,86.8,87.31,86.01,2907497.0,83.461538
