Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
CCK,2015-01-02,50.9,50.67,51.19,50.28,522307.0,16.580497
CCK,2015-01-05,50.27,49.8,50.53,49.69,555003.0,16.295812
CCK,2015-01-06,49.0,47.86,49.34,47.05,2107842.0,15.660995
CCK,2015-01-07,48.19,48.21,48.31,47.71,1116477.0,15.775524
CCK,2015-01-08,48.22,48.81,48.81,48.1,736393.0,15.971859
CCK,2015-01-09,48.94,47.65,49.13,47.62,1040742.0,15.592277
CCK,2015-01-12,47.59,47.66,47.86,47.02,605494.0,15.59555
CCK,2015-01-13,48.07,47.34,48.215,46.955,956643.0,15.490838
CCK,2015-01-14,46.9,47.44,47.52,46.63,816422.0,15.52356
CCK,2015-01-15,47.68,46.56,47.68,46.56,912061.0,15.235602
CCK,2015-01-16,46.55,46.21,46.73,45.93,1007254.0,15.121073
CCK,2015-01-20,46.23,46.66,46.99,45.96,1262892.0,15.268325
CCK,2015-01-21,46.51,47.13,47.46,46.13,845267.0,15.42212
CCK,2015-01-22,47.56,47.69,48.03,47.27,800331.0,15.605366
CCK,2015-01-23,47.52,46.19,47.61,46.19,689300.0,15.114529
CCK,2015-01-26,46.32,45.91,46.39,45.34,1467556.0,15.022906
CCK,2015-01-27,45.5,45.65,45.95,45.14,936637.0,14.937827
CCK,2015-01-28,45.98,44.93,46.21,44.88,1221179.0,14.702225
CCK,2015-01-29,45.12,44.33,45.12,43.85,1807811.0,14.50589
CCK,2015-01-30,43.97,44.31,44.67,43.95,1262467.0,14.499346
CCK,2015-02-02,44.47,44.75,44.93,44.12,1352910.0,14.643325
CCK,2015-02-03,44.95,45.35,45.83,44.926,1404128.0,14.83966
CCK,2015-02-04,45.35,45.74,46.3,45.18,2164124.0,14.967277
CCK,2015-02-05,48.0,48.06,48.85,47.26,2555833.0,15.72644
CCK,2015-02-06,48.05,47.14,48.08,46.97,1383581.0,15.425393
CCK,2015-02-09,46.72,46.8,47.37,46.57,1408144.0,16.774194
CCK,2015-02-10,47.02,50.33,50.42,47.02,2853565.0,18.039427
CCK,2015-02-11,50.44,49.55,50.44,49.46,1273419.0,17.759857
CCK,2015-02-12,49.78,49.91,50.33,49.74,1034460.0,17.888889
CCK,2015-02-13,50.07,50.65,50.73,49.99,928875.0,18.154122
CCK,2015-02-17,50.16,50.21,50.5342,50.03,998619.0,17.996416
CCK,2015-02-18,50.21,52.13,52.16,50.08,1476346.0,18.684588
CCK,2015-02-19,52.22,51.57,52.42,51.43,1272755.0,18.483871
CCK,2015-02-20,51.4,51.72,51.76,50.62,776636.0,18.537634
CCK,2015-02-23,51.46,52.23,52.405,51.33,769626.0,18.72043
CCK,2015-02-24,52.11,52.12,52.42,51.8,666702.0,18.681004
CCK,2015-02-25,52.23,52.55,53.17,51.88,1276121.0,18.835125
CCK,2015-02-26,52.55,52.79,52.92,52.31,614386.0,18.921147
CCK,2015-02-27,52.85,53.0,53.3,52.68,1123390.0,18.996416
CCK,2015-03-02,52.64,53.13,53.17,52.3,874037.0,19.043011
CCK,2015-03-03,53.35,53.01,53.35,52.44,1174484.0,19.0
CCK,2015-03-04,52.74,52.32,52.74,52.15,1186928.0,18.752688
CCK,2015-03-05,52.5,51.69,52.57,51.16,1528350.0,18.526882
CCK,2015-03-06,51.46,50.76,51.68,50.42,1469838.0,18.193548
CCK,2015-03-09,50.82,50.86,51.0,50.74,631213.0,18.229391
CCK,2015-03-10,50.52,50.52,50.88,50.3,748363.0,18.107527
CCK,2015-03-11,50.26,50.21,50.62,49.82,1007692.0,17.996416
CCK,2015-03-12,50.33,51.01,51.04,50.14,1049651.0,18.283154
CCK,2015-03-13,50.84,50.15,50.96,49.85,476029.0,17.97491
CCK,2015-03-16,50.29,51.0,51.02,50.2,830242.0,18.27957
CCK,2015-03-17,50.73,51.03,51.25,50.51,654621.0,18.290323
CCK,2015-03-18,51.05,53.25,53.39,51.02,1985818.0,19.086022
CCK,2015-03-19,52.97,52.9,52.98,52.43,771430.0,18.960573
CCK,2015-03-20,53.06,53.09,53.2,52.63,967223.0,19.028674
CCK,2015-03-23,53.25,52.95,53.32,52.66,611138.0,18.978495
CCK,2015-03-24,52.84,53.2,53.275,52.53,911445.0,19.0681
CCK,2015-03-25,53.17,52.03,53.17,51.93,746294.0,18.648746
CCK,2015-03-26,51.82,51.8,51.99,51.44,850406.0,18.566308
CCK,2015-03-27,51.66,52.03,52.04,51.47,724856.0,18.648746
CCK,2015-03-30,52.6,53.67,53.7,52.47,948864.0,19.236559
CCK,2015-03-31,53.79,54.02,54.03,53.36,1158543.0,19.362007
CCK,2015-04-01,54.2,54.16,54.23,53.52,1573824.0,19.412186
CCK,2015-04-02,54.17,54.1,54.27,53.81,971806.0,19.390681
CCK,2015-04-06,53.95,55.07,55.24,53.78,700959.0,19.738351
CCK,2015-04-07,54.99,54.93,55.04,54.62,1455684.0,19.688172
CCK,2015-04-08,54.8,55.45,55.48,54.4,961731.0,19.874552
CCK,2015-04-09,55.35,55.22,55.818,55.01,1379315.0,19.792115
CCK,2015-04-10,54.43,54.72,54.98,54.23,1069289.0,19.612903
CCK,2015-04-13,54.51,54.71,55.1,54.23,973260.0,19.609319
CCK,2015-04-14,54.76,54.7,55.01,54.49,879066.0,19.605735
CCK,2015-04-15,54.7,54.43,55.0,54.34,1333252.0,19.508961
CCK,2015-04-16,54.39,54.15,54.5,53.54,1752027.0,18.44346
CCK,2015-04-17,53.6,54.33,55.88,52.25,2386758.0,18.504768
CCK,2015-04-20,54.53,54.33,54.84,53.915,740426.0,18.504768
CCK,2015-04-21,55.36,54.56,55.5,54.41,1500346.0,18.583106
CCK,2015-04-22,54.55,54.75,54.85,54.22,788837.0,18.64782
CCK,2015-04-23,54.64,54.84,55.05,54.48,598680.0,18.678474
CCK,2015-04-24,55.04,55.29,55.35,54.72,448790.0,18.831744
CCK,2015-04-27,55.5,55.2,55.78,55.11,901316.0,18.80109
CCK,2015-04-28,55.13,55.23,55.465,54.905,584359.0,18.811308
CCK,2015-04-29,54.86,54.64,55.14,54.42,530792.0,18.610354
CCK,2015-04-30,54.28,54.26,54.68,53.93,1035921.0,18.480926
CCK,2015-05-01,54.21,55.24,55.305,54.21,654890.0,18.814714
CCK,2015-05-04,55.51,55.24,55.73,54.99,746884.0,18.814714
CCK,2015-05-05,55.34,54.52,55.39,54.38,604393.0,18.569482
CCK,2015-05-06,54.76,54.63,54.91,54.07,895288.0,18.606948
CCK,2015-05-07,54.47,54.48,54.81,54.21,764821.0,18.555858
CCK,2015-05-08,54.75,54.91,55.25,54.49,643062.0,18.702316
CCK,2015-05-11,54.78,55.13,55.45,54.578,647882.0,18.777248
CCK,2015-05-12,54.94,54.22,55.01,54.04,992105.0,18.467302
CCK,2015-05-13,54.48,54.52,55.09,54.3,459785.0,18.569482
CCK,2015-05-14,54.9,55.26,55.3,54.6,348222.0,18.821526
CCK,2015-05-15,55.45,55.22,55.64,54.99,633884.0,18.807902
CCK,2015-05-18,55.2,56.63,56.65,54.97,876495.0,19.288147
CCK,2015-05-19,56.69,56.59,56.89,56.51,819549.0,19.274523
CCK,2015-05-20,56.79,56.56,57.08,56.4901,522384.0,19.264305
CCK,2015-05-21,56.48,56.34,56.62,56.1,334823.0,19.189373
