Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
CDNS,2015-01-02,19.15,18.83,19.24,18.57,3508565.0,42.892938
CDNS,2015-01-05,18.71,18.4,18.75,18.34,9069921.0,41.91344
CDNS,2015-01-06,18.47,17.91,18.53,17.89,4301751.0,40.797267
CDNS,2015-01-07,18.04,18.42,18.445,17.88,2912665.0,41.958998
CDNS,2015-01-08,18.61,18.61,18.74,18.49,2199924.0,42.3918
CDNS,2015-01-09,18.57,18.55,18.67,18.28,2420327.0,42.255125
CDNS,2015-01-12,18.56,18.36,18.56,18.23,1320027.0,41.822323
CDNS,2015-01-13,18.45,18.43,18.84,18.17,2395893.0,41.981777
CDNS,2015-01-14,18.21,18.255,18.405,18.01,1638106.0,41.583144
CDNS,2015-01-15,18.32,17.73,18.4,17.71,4130426.0,40.387244
CDNS,2015-01-16,17.71,18.33,18.35,17.68,2284459.0,41.753986
CDNS,2015-01-20,18.38,18.14,18.55,17.895,4613220.0,41.321185
CDNS,2015-01-21,18.14,18.335,18.44,18.04,1877085.0,41.765376
CDNS,2015-01-22,18.42,18.36,18.535,18.075,2669155.0,41.822323
CDNS,2015-01-23,18.37,18.455,18.66,18.3,1987311.0,42.038724
CDNS,2015-01-26,18.5,18.58,18.62,18.25,1961484.0,42.323462
CDNS,2015-01-27,18.38,18.35,18.55,18.18,1990306.0,41.799544
CDNS,2015-01-28,18.5,18.12,18.5899,18.1,2057976.0,41.275626
CDNS,2015-01-29,18.19,18.01,18.2,17.75,4235762.0,41.025057
CDNS,2015-01-30,17.9,17.99,18.21,17.75,3276769.0,40.979499
CDNS,2015-02-02,17.97,17.9,18.04,17.58,4933200.0,40.774487
CDNS,2015-02-03,17.94,18.235,18.305,17.82,4816263.0,41.537585
CDNS,2015-02-04,18.13,18.1,18.36,18.09,3702812.0,34.807692
CDNS,2015-02-05,16.68,17.21,17.62,16.52,14429360.0,33.096154
CDNS,2015-02-06,17.3,17.13,17.4,17.05,3817926.0,32.942308
CDNS,2015-02-09,17.12,17.16,17.31,17.01,4087344.0,33.0
CDNS,2015-02-10,17.24,17.24,17.29,17.0,2526960.0,33.153846
CDNS,2015-02-11,17.22,17.61,17.64,17.1,3421143.0,33.865385
CDNS,2015-02-12,17.68,17.92,17.96,17.45,2739733.0,34.461538
CDNS,2015-02-13,17.92,18.02,18.09,17.72,2401762.0,34.653846
CDNS,2015-02-17,17.97,17.94,18.01,17.795,1553303.0,34.5
CDNS,2015-02-18,17.86,18.0,18.01,17.65,1476332.0,34.615385
CDNS,2015-02-19,17.95,18.23,18.32,17.85,3575302.0,35.057692
CDNS,2015-02-20,18.25,18.5,18.5,17.973,2344319.0,35.576923
CDNS,2015-02-23,18.48,18.47,18.55,18.3,5138719.0,35.519231
CDNS,2015-02-24,18.54,18.67,18.725,18.42,3188940.0,35.903846
CDNS,2015-02-25,18.63,18.73,18.77,18.43,2536670.0,36.019231
CDNS,2015-02-26,18.69,18.51,18.73,18.38,2493560.0,35.596154
CDNS,2015-02-27,18.47,18.355,18.48,18.24,2473558.0,35.298077
CDNS,2015-03-02,18.41,18.59,18.64,18.41,2015679.0,35.75
CDNS,2015-03-03,18.52,18.45,18.588,18.35,1275779.0,35.480769
CDNS,2015-03-04,18.4,18.43,18.55,18.32,2419889.0,35.442308
CDNS,2015-03-05,18.48,18.21,18.49,18.1,3766862.0,35.019231
CDNS,2015-03-06,18.13,18.09,18.2,17.92,3005002.0,34.788462
CDNS,2015-03-09,18.08,18.205,18.23,17.916,1792700.0,35.009615
CDNS,2015-03-10,18.06,17.84,18.12,17.8,1663643.0,34.307692
CDNS,2015-03-11,17.85,17.83,17.92,17.65,2228539.0,34.288462
CDNS,2015-03-12,17.81,17.95,17.95,17.648,963314.0,34.519231
CDNS,2015-03-13,17.97,18.115,18.19,17.78,4622982.0,34.836538
CDNS,2015-03-16,18.19,18.52,18.58,18.04,3906104.0,35.615385
CDNS,2015-03-17,18.45,18.39,18.57,18.29,2748903.0,35.365385
CDNS,2015-03-18,18.3,18.63,18.82,18.28,2194476.0,35.826923
CDNS,2015-03-19,18.62,18.6,18.74,18.56,1889220.0,35.769231
CDNS,2015-03-20,17.94,18.66,18.865,17.94,4181592.0,35.884615
CDNS,2015-03-23,18.66,18.525,18.68,18.51,1772407.0,35.625
