Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
CHRW,2015-01-02,74.85,73.84,75.24,73.021,2056053.0,25.523678
CHRW,2015-01-05,73.37,70.6,73.37,70.32,8424769.0,24.403733
CHRW,2015-01-06,71.9,69.68,71.95,69.23,3893890.0,24.085724
CHRW,2015-01-07,69.83,69.71,70.32,69.23,2067860.0,24.096094
CHRW,2015-01-08,70.67,72.84,72.9,70.63,3020740.0,25.178016
CHRW,2015-01-09,72.8,72.06,73.13,71.72,1246048.0,24.9084
CHRW,2015-01-12,72.46,72.9,73.555,71.98,1424160.0,25.198756
CHRW,2015-01-13,73.36,73.61,74.69,73.03,1776340.0,25.444176
CHRW,2015-01-14,73.02,72.97,73.47,72.38,1205437.0,25.222952
CHRW,2015-01-15,73.23,72.51,73.52,72.29,1142922.0,25.063947
CHRW,2015-01-16,72.51,73.45,73.54,72.0,840113.0,25.38887
CHRW,2015-01-20,73.65,72.87,73.82,72.33,1151862.0,25.188386
CHRW,2015-01-21,72.58,72.82,73.49,72.3101,932930.0,25.171103
CHRW,2015-01-22,73.29,74.73,74.9,73.04,1132539.0,25.831317
CHRW,2015-01-23,74.52,74.12,74.88,74.07,919747.0,25.620463
CHRW,2015-01-26,73.83,74.64,74.68,73.52,708073.0,25.800207
CHRW,2015-01-27,73.76,73.735,74.107,73.01,1124315.0,25.487383
CHRW,2015-01-28,74.09,72.94,74.42,72.87,992631.0,25.212582
CHRW,2015-01-29,72.86,73.31,73.38,71.92,1591569.0,25.340477
CHRW,2015-01-30,72.63,71.22,73.11,70.98,2436400.0,24.618044
CHRW,2015-02-02,72.01,73.44,73.58,71.69,4363698.0,25.385413
CHRW,2015-02-03,74.64,75.23,75.49,73.25,9185898.0,24.665574
CHRW,2015-02-04,72.0,70.5,72.0,67.11,10238710.0,23.114754
CHRW,2015-02-05,70.65,70.97,71.47,70.36,3350750.0,23.268852
CHRW,2015-02-06,71.2,70.51,71.21,70.34,2365765.0,23.118033
CHRW,2015-02-09,70.38,70.495,70.59,69.84,1914349.0,23.113115
CHRW,2015-02-10,70.9,71.15,71.48,70.36,1757573.0,23.327869
CHRW,2015-02-11,71.24,71.25,71.96,71.17,1825544.0,23.360656
CHRW,2015-02-12,71.55,71.83,72.13,71.325,1415970.0,23.55082
CHRW,2015-02-13,72.09,72.58,72.74,71.93,1367027.0,23.796721
CHRW,2015-02-17,72.32,71.81,72.47,71.65,1005122.0,23.544262
CHRW,2015-02-18,71.49,71.38,72.4,70.62,1243290.0,23.403279
CHRW,2015-02-19,71.38,71.84,72.39,70.99,904132.0,23.554098
CHRW,2015-02-20,71.61,72.5,72.6,71.05,965650.0,23.770492
CHRW,2015-02-23,72.53,73.14,73.2,72.35,885096.0,23.980328
CHRW,2015-02-24,73.05,73.98,74.0,72.78,1182146.0,24.255738
