Ticker,Date,Open,Close,High,Low,Volume,PE Ratio
C,2015-01-02,54.36,54.26,54.69,53.79,11139760.0,18.646048
C,2015-01-05,53.91,52.55,53.96,52.33,20945440.0,18.058419
C,2015-01-06,52.68,50.7,52.77,50.53,31989330.0,17.42268
C,2015-01-07,51.51,51.17,51.55,50.615,27890770.0,17.584192
C,2015-01-08,51.77,51.94,52.08,51.5,17470340.0,17.848797
C,2015-01-09,52.17,50.78,52.24,50.77,20180180.0,17.450172
C,2015-01-12,50.82,50.38,50.91,50.03,22725830.0,17.312715
C,2015-01-13,50.66,50.02,51.23,49.61,23201790.0,17.189003
C,2015-01-14,48.96,49.05,49.1,47.77,44630810.0,16.85567
C,2015-01-15,48.06,47.23,48.24,46.91,48799350.0,21.477945
C,2015-01-16,46.7,47.61,47.69,46.6,32306960.0,21.65075
C,2015-01-20,47.98,47.26,48.0,47.15,25569190.0,21.491587
C,2015-01-21,47.37,47.74,48.23,47.15,22873310.0,21.709868
C,2015-01-22,48.26,49.57,49.75,47.93,29652590.0,22.542065
C,2015-01-23,49.49,48.62,49.76,48.605,18984660.0,22.11005
C,2015-01-26,48.48,48.89,49.03,48.41,13817460.0,22.232833
C,2015-01-27,48.04,48.31,48.65,47.77,16401200.0,21.969077
C,2015-01-28,48.37,47.11,48.51,47.11,26065270.0,21.423374
C,2015-01-29,47.07,47.62,47.78,46.825,19865730.0,21.655298
C,2015-01-30,47.09,46.95,47.73,46.9,23729790.0,21.350614
C,2015-02-02,47.2,47.72,47.77,46.9,19178240.0,21.700773
C,2015-02-03,48.46,48.88,49.22,48.35,25221080.0,22.228286
C,2015-02-04,48.57,48.4,49.0,48.3,19581790.0,22.010005
C,2015-02-05,48.74,48.54,49.0,48.22,15481920.0,22.07367
C,2015-02-06,49.4,49.14,49.95,49.06,25881520.0,22.346521
C,2015-02-09,48.86,49.21,49.51,48.44,16364920.0,22.378354
C,2015-02-10,50.0,49.39,50.06,49.14,17223700.0,22.460209
C,2015-02-11,49.15,49.68,49.88,49.11,13079480.0,22.592087
C,2015-02-12,49.94,50.89,51.09,49.77,28926840.0,23.142337
C,2015-02-13,51.01,51.2,51.485,50.81,17448490.0,23.283311
C,2015-02-17,50.95,51.69,51.8,50.9,14569350.0,23.506139
C,2015-02-18,51.3,51.42,51.67,51.09,17666810.0,23.383356
C,2015-02-19,51.28,51.12,51.54,51.04,11272050.0,23.24693
C,2015-02-20,51.05,51.78,51.91,50.36,19429400.0,23.547067
C,2015-02-23,51.53,51.32,51.54,50.75,15282590.0,23.337881
C,2015-02-24,51.42,51.9,52.3,51.39,20250880.0,23.601637
C,2015-02-25,51.65,52.09,52.11,51.55,10666010.0,23.68804
C,2015-02-26,52.03,52.41,52.49,51.91,16358150.0,23.833561
C,2015-02-27,52.32,52.42,52.87,52.17,18588450.0,23.838108
C,2015-03-02,52.43,53.49,53.52,52.05,19384200.0,24.324693
C,2015-03-03,53.94,53.73,54.0,53.43,24281860.0,24.433834
C,2015-03-04,53.48,53.67,53.86,53.24,14698050.0,24.406548
C,2015-03-05,53.71,53.56,53.73,53.15,13853850.0,24.356526
C,2015-03-06,53.75,53.06,54.01,52.93,40296620.0,24.12915
C,2015-03-09,52.88,52.95,53.17,52.77,17542630.0,24.079127
C,2015-03-10,52.07,51.23,52.3,51.23,29061250.0,23.296953
C,2015-03-11,51.62,52.33,52.755,51.52,32443600.0,23.797181
C,2015-03-12,54.0,54.08,54.72,53.45,50191170.0,24.592997
C,2015-03-13,53.9,53.54,54.24,53.255,20780570.0,24.347431
C,2015-03-16,53.74,53.69,54.04,53.4,17031580.0,24.415643
C,2015-03-17,53.21,53.84,53.99,53.155,13902930.0,24.483856
C,2015-03-18,53.42,53.72,53.94,53.17,18383720.0,24.429286
C,2015-03-19,53.57,52.38,53.62,52.2,21150000.0,23.819918
C,2015-03-20,52.44,52.98,53.17,52.41,22466240.0,24.092769
C,2015-03-23,53.03,52.48,53.05,52.48,13148900.0,23.865393
C,2015-03-24,52.35,51.94,52.44,51.94,12887740.0,23.619827
C,2015-03-25,51.98,51.38,52.11,51.35,15418180.0,23.365166
C,2015-03-26,51.19,51.19,51.46,50.47,21839610.0,23.278763
C,2015-03-27,51.49,51.0,51.49,50.72,16052370.0,23.19236
C,2015-03-30,51.33,51.64,52.0,51.31,13289150.0,23.483402
C,2015-03-31,51.26,51.52,51.765,51.16,13928940.0,23.428831
C,2015-04-01,51.37,51.62,51.895,51.01,21577680.0,23.474307
C,2015-04-02,51.68,51.86,52.22,51.59,13966920.0,23.583447
C,2015-04-06,51.16,51.62,51.96,50.98,13250840.0,23.474307
C,2015-04-07,51.83,51.52,51.93,51.39,11562700.0,23.428831
C,2015-04-08,51.67,51.89,52.22,51.63,11773030.0,23.59709
C,2015-04-09,51.73,52.13,52.205,51.69,13591430.0,23.70623
C,2015-04-10,52.08,52.43,52.68,51.98,13032020.0,23.842656
C,2015-04-13,52.48,52.66,52.95,52.41,11984410.0,23.947249
C,2015-04-14,52.93,52.73,53.0,52.38,13259730.0,23.979081
C,2015-04-15,52.93,53.21,53.38,52.75,19041100.0,24.197362
C,2015-04-16,53.98,54.02,54.46,53.8,38345620.0,21.826263
C,2015-04-17,53.51,53.07,54.1,52.95,23286980.0,21.442424
C,2015-04-20,53.3,53.2,53.57,53.09,14730000.0,21.494949
C,2015-04-21,53.35,52.48,53.46,52.25,19554370.0,21.20404
C,2015-04-22,52.52,53.1,53.38,52.35,14873390.0,21.454545
C,2015-04-23,53.01,53.22,53.4,52.8199,13049570.0,21.50303
C,2015-04-24,53.16,52.9,53.22,52.85,10150540.0,21.373737
C,2015-04-27,52.88,52.8,53.39,52.78,15613030.0,21.333333
C,2015-04-28,52.67,53.02,53.1,52.25,14134530.0,21.422222
C,2015-04-29,52.65,53.76,53.9901,52.61,22542390.0,21.721212
C,2015-04-30,53.75,53.32,53.97,52.92,19420560.0,21.543434
C,2015-05-01,53.64,53.76,53.84,53.31,13148680.0,21.721212
C,2015-05-04,53.85,54.17,54.26,53.74,15670100.0,21.886869
C,2015-05-05,53.99,53.35,54.3,53.25,20669080.0,21.555556
C,2015-05-06,53.56,52.82,53.9,52.35,19414810.0,21.341414
C,2015-05-07,52.59,53.31,53.44,52.41,14954180.0,21.539394
C,2015-05-08,53.55,54.02,54.11,53.3,17333520.0,21.826263
C,2015-05-11,53.92,53.97,54.16,53.8,13896760.0,21.806061
C,2015-05-12,53.67,53.74,53.98,53.23,13336880.0,21.713131
C,2015-05-13,53.72,54.2,54.36,53.48,15810400.0,21.89899
C,2015-05-14,54.43,54.6,54.73,54.33,14250780.0,22.060606
C,2015-05-15,54.59,54.24,54.61,54.03,10378120.0,21.915152
C,2015-05-18,54.19,54.67,54.895,54.17,11717550.0,22.088889
C,2015-05-19,54.79,55.33,55.37,54.75,18207420.0,22.355556
C,2015-05-20,55.27,54.89,55.3,54.745,13955560.0,22.177778
C,2015-05-21,54.69,54.84,55.1,54.61,11799920.0,22.157576
C,2015-05-22,54.78,54.97,55.33,54.68,12652020.0,22.210101
C,2015-05-26,54.75,54.24,54.8386,54.01,16564520.0,21.915152
C,2015-05-27,54.34,54.87,54.98,54.2,13699420.0,22.169697
C,2015-05-28,54.82,54.55,54.82,54.22,13381910.0,22.040404
C,2015-05-29,54.46,54.08,54.49,53.87,13841380.0,21.850505
C,2015-06-01,54.68,54.45,55.045,54.44,18156310.0,22.0
C,2015-06-02,54.4,54.72,55.02,54.13,17765570.0,22.109091
C,2015-06-03,55.04,55.63,56.02,55.01,21240460.0,22.476768
C,2015-06-04,55.45,55.33,56.0,55.16,18517630.0,22.355556
